Time,Obs_AC5,Obs_AC5_ATP,Obs_AC5_Ca,Obs_AC5_Ca_ATP,Obs_AC5_Ca_GaolfGTP,Obs_AC5_Ca_GaolfGTP_ATP,Obs_AC5_GaolfGTP,Obs_AC5_GaolfGTP_ATP,Obs_B56PP2A,Obs_B56PP2A_D32p75,Obs_B56PP2A_pARPP21,Obs_B56PP2Ap,Obs_B56PP2Ap_D32p75,Obs_B56PP2Ap_pARPP21,Obs_B72PP2A,Obs_B72PP2A_D32p34,Obs_B72PP2A_D32p75,Obs_B72PP2A_pARPP21,Obs_B72PP2A_Ca_D32p34,Obs_B72PP2A_Ca_D32p75,Obs_B72PP2A_Ca,Obs_B72PP2A_Ca_pARPP21,Obs_Ca,Obs_CaM,Obs_CaM_Ca2,Obs_CaM_Ca4,Obs_CaM_Ca4_pARPP21,Obs_CaMKII,Obs_CaMKII_CaM_Ca4,Obs_CaMKII_CaM,Obs_CaMKII_CaM_Ca2,Obs_CaMKII_CaM_Ca2_psd,Obs_CaMKII_CaM_psd,Obs_CaMKII_CaM_Ca4_psd,Obs_CaMKII_psd,Obs_cAMP,Obs_Substrate,Obs_CDK5,Obs_CDK5_D32,Obs_D1R,Obs_D1R_DA,Obs_D1R_Golf_DA,Obs_D1R_Golf,Obs_D32p34,Obs_D32p75,Obs_DA,Obs_D32,Obs_GaolfGDP,Obs_GaolfGTP,Obs_Gbgolf,Obs_Golf,Obs_pCaMKII,Obs_pCaMKII_CaM_Ca4,Obs_pCaMKII_CaM,Obs_pCaMKII_CaM_Ca2,Obs_pCaMKII_CaM_Ca2_psd,Obs_pCaMKII_CaM_psd,Obs_pCaMKII_CaM_Ca4_psd,Obs_pCaMKII_psd,Obs_pSubstrate,Obs_PDE4,Obs_PDE4_cAMP,Obs_PDE10r,Obs_PDE10r_cAMP,Obs_PDE10c,Obs_PDE10c_cAMP,Obs_PKA,Obs_PKAc,Obs_PKAc_B56PP2A,Obs_PKAc_D32,Obs_PKAc_ARPP21,Obs_PKA_Ca2MP,Obs_PKA_Ca4MP,Obs_PKAc_D32p75,Obs_PKAreg,Obs_PP1,Obs_PP1_pCaMKII_psd,Obs_PP1_pSubstrate,Obs_PP1_D32p34,Obs_CaMKII_CaM_Ca4_psd_CaMKII_CaM_Ca4_psd,Obs_pCaMKII_CaM_Ca4_psd_CaMKII_CaM_Ca4_psd,Obs_CaMKII_CaM_Ca4_CaMKII_CaM_Ca4,Obs_pCaMKII_CaM_Ca4_CaMKII_CaM_Ca4,Obs_PP2B,Obs_PP2Bc,Obs_PP2Bc_D32p34,Obs_PP2B_CaM,Obs_PP2B_CaM_Ca2,Obs_pARPP21,Obs_ARPP21,Obs_pCaMKII_psd_Substrate,Obs_pCaMKII_CaM_psd_Substrate,Obs_pCaMKII_CaM_Ca2_psd_Substrate,Obs_pCaMKII_CaM_Ca4_psd_Substrate,Obs_CaMKII_CaM_psd_Substrate,Obs_CaMKII_CaM_Ca2_psd_Substrate,Obs_CaMKII_CaM_Ca4_psd_Substrate
0,43,0,0,0,0,0,0,0,120,0,0,0,0,0,120,0,0,0,0,0,0,0,4,542,0,0,0,1205,0,0,0,0,0,0,0,0,180,109,0,120,0,0,0,0,0,1,3011,0,0,0,120,0,0,0,0,0,0,0,0,0,120,0,42,0,0,0,72,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,241,0,0,0,0,0,1205,0,0,0,0,0,0,0
0.02,0,42,0,0,0,0,0,1,120,0,0,0,0,0,120,0,0,0,0,0,0,0,4,362,2,0,0,1065,0,135,2,0,0,0,3,1,180,76,33,85,1,1,33,0,4,1,2974,0,0,1,85,0,0,0,0,0,0,0,0,0,120,0,42,0,0,0,72,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,200,0,0,40,1,0,1205,0,0,0,0,0,0,0
0.04,0,42,0,0,0,0,0,1,119,1,0,0,0,0,119,0,0,0,0,0,1,0,4,339,3,0,0,1044,0,156,2,0,0,0,3,1,180,76,33,89,0,0,31,0,9,1,2968,0,0,1,88,0,0,0,0,0,0,0,0,0,119,1,42,0,0,0,71,0,0,0,0,1,0,0,0,181,0,0,0,0,0,0,0,199,0,0,39,3,0,1205,0,0,0,0,0,0,0
0.06,0,42,0,0,0,0,0,1,118,2,0,0,0,0,114,0,1,0,0,0,5,0,4,340,0,0,0,1042,0,154,3,0,2,0,4,1,180,78,31,92,0,0,28,0,12,1,2965,0,0,1,91,0,0,0,0,0,0,0,0,0,118,2,42,0,0,0,72,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,198,1,0,34,8,0,1205,0,0,0,0,0,0,0
0.08,0,41,0,0,0,0,0,2,118,2,0,0,0,0,113,0,0,0,0,0,7,0,4,342,1,0,0,1045,1,146,5,0,1,0,7,3,180,70,39,88,0,1,31,0,20,1,2950,0,0,2,86,0,0,0,0,0,0,0,0,0,116,4,41,1,0,0,72,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,195,1,0,35,10,0,1205,0,0,0,0,0,0,0
0.1,0,40,0,0,0,0,0,3,119,1,0,0,0,0,111,0,4,0,0,0,5,0,4,347,1,0,0,1063,0,130,2,0,4,0,6,2,180,79,30,84,1,1,34,0,30,1,2946,0,0,3,82,0,0,0,0,0,0,0,0,0,114,6,40,2,0,0,72,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,183,2,0,43,13,0,1205,0,0,0,0,0,0,0
0.12,0,39,0,0,0,0,0,4,116,4,0,0,0,0,109,0,5,0,0,1,5,0,4,341,0,0,0,1044,0,147,3,0,3,0,8,2,180,81,28,88,0,0,32,0,31,1,2942,0,0,4,84,0,0,0,0,0,0,0,0,0,113,7,36,6,0,0,72,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,193,1,0,29,18,0,1205,0,0,0,0,0,0,0
0.14,0,39,0,0,0,0,0,4,114,6,0,0,0,0,106,0,6,0,0,1,7,0,4,322,1,0,0,1049,0,140,5,0,1,0,10,3,180,79,30,86,0,0,34,0,31,1,2937,0,0,4,82,0,0,0,0,0,0,0,0,0,113,7,33,9,0,0,72,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,168,1,0,48,24,0,1205,0,0,0,0,0,0,0
0.16,0,39,0,0,0,0,0,4,111,9,0,0,0,0,105,0,6,0,0,3,6,0,4,315,1,0,0,1045,0,143,4,0,1,0,12,6,180,75,34,80,0,1,39,0,33,1,2926,0,0,4,76,0,0,0,0,0,0,0,0,0,110,10,33,9,0,0,72,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,163,2,0,50,26,0,1205,0,0,0,0,0,0,0
0.18,0,39,0,0,0,0,0,4,113,7,0,0,0,0,111,0,2,0,0,2,5,0,4,329,1,0,0,1043,0,146,4,0,1,0,11,5,180,80,29,86,1,1,32,0,49,1,2922,0,0,4,83,0,0,0,0,0,0,0,0,0,105,15,30,12,0,0,72,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,180,0,0,32,29,0,1205,0,0,0,0,0,0,0
