Time,Obs_AC5,Obs_AC5_ATP,Obs_AC5_Ca,Obs_AC5_Ca_ATP,Obs_AC5_Ca_GaolfGTP,Obs_AC5_Ca_GaolfGTP_ATP,Obs_AC5_GaolfGTP,Obs_AC5_GaolfGTP_ATP,Obs_B56PP2A,Obs_B56PP2A_D32p75,Obs_B56PP2A_pARPP21,Obs_B56PP2Ap,Obs_B56PP2Ap_D32p75,Obs_B56PP2Ap_pARPP21,Obs_B72PP2A,Obs_B72PP2A_D32p34,Obs_B72PP2A_D32p75,Obs_B72PP2A_pARPP21,Obs_B72PP2A_Ca_D32p34,Obs_B72PP2A_Ca_D32p75,Obs_B72PP2A_Ca,Obs_B72PP2A_Ca_pARPP21,Obs_Ca,Obs_CaM,Obs_CaM_Ca2,Obs_CaM_Ca4,Obs_CaM_Ca4_pARPP21,Obs_CaMKII,Obs_CaMKII_CaM_Ca4,Obs_CaMKII_CaM,Obs_CaMKII_CaM_Ca2,Obs_CaMKII_CaM_Ca2_psd,Obs_CaMKII_CaM_psd,Obs_CaMKII_CaM_Ca4_psd,Obs_CaMKII_psd,Obs_cAMP,Obs_Substrate,Obs_CDK5,Obs_CDK5_D32,Obs_D1R,Obs_D1R_DA,Obs_D1R_Golf_DA,Obs_D1R_Golf,Obs_D32p34,Obs_D32p75,Obs_DA,Obs_D32,Obs_GaolfGDP,Obs_GaolfGTP,Obs_Gbgolf,Obs_Golf,Obs_pCaMKII,Obs_pCaMKII_CaM_Ca4,Obs_pCaMKII_CaM,Obs_pCaMKII_CaM_Ca2,Obs_pCaMKII_CaM_Ca2_psd,Obs_pCaMKII_CaM_psd,Obs_pCaMKII_CaM_Ca4_psd,Obs_pCaMKII_psd,Obs_pSubstrate,Obs_PDE4,Obs_PDE4_cAMP,Obs_PDE10r,Obs_PDE10r_cAMP,Obs_PDE10c,Obs_PDE10c_cAMP,Obs_PKA,Obs_PKAc,Obs_PKAc_B56PP2A,Obs_PKAc_D32,Obs_PKAc_ARPP21,Obs_PKA_Ca2MP,Obs_PKA_Ca4MP,Obs_PKAc_D32p75,Obs_PKAreg,Obs_PP1,Obs_PP1_pCaMKII_psd,Obs_PP1_pSubstrate,Obs_PP1_D32p34,Obs_CaMKII_CaM_Ca4_psd_CaMKII_CaM_Ca4_psd,Obs_pCaMKII_CaM_Ca4_psd_CaMKII_CaM_Ca4_psd,Obs_CaMKII_CaM_Ca4_CaMKII_CaM_Ca4,Obs_pCaMKII_CaM_Ca4_CaMKII_CaM_Ca4,Obs_PP2B,Obs_PP2Bc,Obs_PP2Bc_D32p34,Obs_PP2B_CaM,Obs_PP2B_CaM_Ca2,Obs_pARPP21,Obs_ARPP21,Obs_pCaMKII_psd_Substrate,Obs_pCaMKII_CaM_psd_Substrate,Obs_pCaMKII_CaM_Ca2_psd_Substrate,Obs_pCaMKII_CaM_Ca4_psd_Substrate,Obs_CaMKII_CaM_psd_Substrate,Obs_CaMKII_CaM_Ca2_psd_Substrate,Obs_CaMKII_CaM_Ca4_psd_Substrate
0,0,40,0,1,0,0,0,2,55,45,1,8,11,0,61,0,50,1,0,5,4,0,3,192,3,0,0,1011,1,81,14,1,7,0,88,2,175,82,28,89,0,0,31,0,632,2,2217,0,0,2,87,0,0,0,0,0,0,0,0,5,91,29,24,18,0,0,69,0,0,0,1,0,0,2,3,161,0,1,19,0,0,0,0,1,14,3,0,223,35,1165,0,0,0,0,1,0,0
0.05,0,40,0,1,0,0,0,2,64,36,1,7,12,0,60,0,52,0,0,8,1,0,4,185,2,0,0,1007,1,85,12,3,10,0,84,1,172,77,33,96,0,0,24,0,636,1,2212,0,0,2,94,0,0,0,0,0,0,0,0,7,95,25,20,22,0,0,68,1,0,0,1,1,0,1,3,161,0,1,19,0,0,0,0,1,17,3,0,220,37,1164,0,0,0,0,2,0,0
0.1,0,41,0,0,0,0,0,2,50,50,1,8,11,0,62,0,48,1,0,8,2,0,4,194,2,0,0,1015,3,79,10,2,10,0,85,2,173,83,27,85,0,0,35,0,630,1,2214,0,0,2,83,0,0,0,0,0,0,0,0,9,93,27,26,16,0,0,69,1,0,0,0,0,0,2,3,162,0,0,19,0,0,0,0,1,12,3,0,225,35,1166,0,0,0,0,0,0,0
0.15000000000000002,0,41,0,0,0,0,0,2,53,47,1,8,10,1,66,0,45,0,0,4,6,0,3,190,2,0,0,1007,1,90,10,1,5,1,89,4,173,83,27,91,0,0,29,0,646,1,2211,0,0,2,89,0,0,0,0,0,0,0,0,8,97,23,24,18,0,0,69,0,0,0,2,0,0,1,3,161,0,1,19,0,0,0,0,1,15,2,0,223,37,1162,0,0,0,0,0,0,0
0.2,0,41,0,0,0,0,0,2,52,48,1,8,11,0,63,0,47,0,0,7,3,1,4,188,2,0,0,1006,1,90,13,1,5,0,88,0,174,82,28,83,0,0,37,0,638,1,2212,0,0,2,81,0,0,0,0,0,0,0,0,8,95,25,26,16,0,0,69,2,0,0,0,0,0,1,3,162,0,0,19,0,0,0,0,1,14,1,0,225,38,1163,0,0,0,0,0,0,0
0.25,0,41,0,0,0,0,0,2,67,33,1,6,13,0,66,0,42,1,0,7,5,0,4,184,2,0,0,1006,1,89,12,3,9,0,84,3,174,82,28,89,0,0,31,0,658,1,2209,0,0,2,87,0,0,0,0,0,0,0,0,8,96,24,25,17,0,0,69,0,0,0,1,0,0,2,3,161,0,0,20,0,0,0,0,1,19,0,0,221,38,1162,0,0,0,0,0,0,0
0.30000000000000004,1,40,0,0,0,0,0,2,56,42,3,6,12,1,61,0,51,1,0,7,1,0,3,194,2,0,0,1012,0,83,13,1,8,0,87,3,174,91,19,93,1,0,26,0,642,1,2217,0,0,2,92,0,0,0,0,0,0,0,0,7,95,25,24,18,0,0,69,0,0,0,1,0,0,2,3,161,0,1,19,0,0,0,0,2,10,1,0,228,36,1161,0,0,0,0,0,0,0
0.35000000000000003,0,41,0,0,0,0,0,2,65,36,0,4,13,2,52,0,58,2,0,6,3,0,4,207,1,0,0,1026,0,76,8,1,6,1,86,3,173,80,30,92,0,0,28,0,642,1,2206,0,0,2,90,0,0,0,0,0,0,0,0,8,95,25,22,20,0,0,69,0,0,0,2,0,0,1,3,161,0,1,19,0,0,0,0,1,6,1,0,233,38,1159,0,0,0,0,0,0,0
0.4,0,41,0,0,0,0,0,2,55,45,1,5,14,0,64,0,48,1,0,3,5,0,3,199,4,0,0,1018,0,83,10,0,4,0,89,3,173,85,25,95,0,0,25,0,639,2,2215,0,0,2,93,0,0,0,0,0,0,0,0,8,100,20,20,22,0,0,69,0,0,2,0,0,0,1,3,161,0,1,19,0,0,0,0,1,20,1,0,219,39,1162,0,0,0,0,0,0,0
0.45,0,41,0,0,0,0,0,2,57,44,0,7,12,0,63,0,50,0,0,7,1,0,3,191,1,0,0,1019,0,83,12,1,11,0,77,1,171,77,33,86,1,0,33,0,638,1,2206,0,0,2,85,0,0,0,0,0,0,0,0,9,100,20,24,18,0,0,68,0,0,0,1,1,0,2,3,161,0,1,19,0,0,0,0,1,14,1,0,225,41,1161,0,0,0,0,1,0,0
