Time,Obs_Ca,Obs_CaM,Obs_CaM_Ca4,Obs_CaMKII,Obs_CaMKII_CaM_Ca2,Obs_CaMKII_CaM_Ca2_psd,Obs_CaMKII_psd,Obs_cAMP,Obs_Substrate,Obs_D1R,Obs_DA,Obs_D32,Obs_pSubstrate,Obs_PP2B,Obs_PP2Bc,Obs_pARPP21
0,1,38,0,202,3,0,17,0,35,18,0,444,1,1,3,8
0.2,0,37,0,199,4,1,18,1,35,16,0,444,0,1,3,8
0.4,1,43,0,205,2,0,19,0,36,21,0,442,0,1,4,6
0.6000000000000001,1,28,0,186,5,1,21,0,36,15,0,438,0,2,7,6
0.8,1,40,0,200,3,0,21,1,36,16,1,445,0,0,0,7
1,1,42,0,203,1,0,20,0,34,17,0,440,0,0,5,8
1.2000000000000002,1,39,0,200,1,0,20,0,34,17,0,439,2,1,0,6
1.4000000000000001,1,34,0,196,2,0,20,0,35,15,0,445,0,1,4,6
1.6,1,39,0,199,3,0,21,0,36,15,0,448,0,0,1,6
1.8,1,44,0,205,3,0,20,0,36,21,0,443,0,0,4,7
2,0,33,0,198,2,0,16,0,36,18,0,449,0,0,0,8
2.2,1,35,0,205,4,0,11,0,35,18,0,444,1,0,5,8
2.4000000000000004,0,38,0,206,2,0,13,0,35,20,1,444,1,0,0,8
2.6,1,37,0,205,3,0,13,0,33,18,1,454,3,0,2,8
2.8000000000000003,1,34,0,201,6,0,16,0,33,14,1,450,2,0,3,8
3,1,37,0,203,1,0,17,0,34,18,0,450,2,0,4,7
3.2,1,36,0,203,0,0,15,1,34,18,1,447,1,0,4,7
3.4000000000000004,1,44,0,206,3,0,19,2,34,19,0,456,1,0,3,6
3.6,1,35,0,201,3,0,18,3,35,19,0,459,1,0,2,4
3.8000000000000003,0,40,0,206,4,0,15,1,35,19,0,451,1,0,3,6
4,1,40,0,206,2,0,17,1,35,16,1,455,1,0,1,6
4.2,22,14,0,186,6,2,16,0,34,20,0,465,1,0,35,1
4.4,35,5,0,171,10,1,23,0,34,20,0,470,2,0,35,1
4.6000000000000005,44,1,2,169,8,1,21,0,34,18,0,474,2,0,34,3
4.800000000000001,49,0,1,169,7,2,21,0,33,19,0,480,2,0,34,0
5,53,1,0,166,2,0,22,0,34,15,0,495,2,0,40,2
5.2,10,4,0,167,13,4,28,0,34,16,1,502,2,0,20,3
5.4,3,18,0,175,16,1,26,0,34,22,0,502,2,0,9,4
5.6000000000000005,1,22,0,178,10,1,27,0,34,18,0,502,2,0,2,4
5.800000000000001,1,32,0,187,6,1,22,0,33,14,0,505,2,0,2,7
6,0,32,0,186,5,0,20,1,34,17,1,507,2,0,6,6
