Time,Obs_Ca,Obs_CaM,Obs_CaM_Ca4,Obs_CaMKII,Obs_CaMKII_CaM_Ca2,Obs_CaMKII_CaM_Ca2_psd,Obs_CaMKII_psd,Obs_cAMP,Obs_Substrate,Obs_D1R,Obs_DA,Obs_D32,Obs_pSubstrate,Obs_PP2B,Obs_PP2Bc,Obs_pARPP21
0,1,38,0,202,3,0,17,0,35,18,0,444,1,1,3,8
0.2,0,37,0,199,4,1,18,1,35,16,0,444,0,1,3,8
0.4,1,43,0,205,2,0,19,0,36,21,0,442,0,1,4,6
0.6000000000000001,1,28,0,186,5,1,21,0,36,15,0,438,0,2,7,6
0.8,1,40,0,200,3,0,21,1,36,16,1,445,0,0,0,7
1,1,42,0,203,1,0,20,0,34,17,0,440,0,0,5,8
1.2000000000000002,1,40,0,204,2,0,18,0,36,18,16,433,0,0,6,8
1.4000000000000001,1,33,0,200,6,0,14,3,34,19,10,434,1,0,2,8
1.6,1,43,0,204,2,0,19,19,35,15,6,439,1,1,2,7
1.8,1,29,0,194,4,0,16,26,34,19,4,437,2,0,5,6
2,1,40,0,205,5,0,16,30,34,20,3,437,2,0,3,10
2.2,1,42,0,206,1,0,17,25,34,16,1,435,2,0,3,15
2.4000000000000004,1,36,0,201,5,0,17,25,34,20,1,443,2,0,2,19
2.6,0,38,0,208,5,0,12,27,34,20,1,437,2,1,1,24
2.8000000000000003,0,40,0,205,5,0,16,16,34,16,0,442,2,1,6,32
3,1,35,0,201,4,0,15,13,34,15,0,439,2,0,4,34
3.2,1,32,0,200,3,0,15,11,34,18,0,431,2,0,0,41
3.4000000000000004,1,45,0,212,2,1,14,5,34,19,0,428,2,0,7,45
3.6,0,38,0,209,4,0,13,1,34,18,0,428,1,1,1,46
3.8000000000000003,0,43,0,210,1,0,15,1,35,17,0,428,1,0,1,52
4,1,33,0,204,4,1,13,0,35,16,0,437,1,0,3,46
4.2,21,8,0,200,9,0,12,0,34,17,0,429,2,0,29,24
4.4,33,0,0,193,9,0,14,0,33,16,0,442,3,0,28,20
4.6000000000000005,42,3,0,200,8,0,15,1,31,21,1,450,2,0,32,17
4.800000000000001,49,2,0,204,4,0,12,1,33,18,1,460,3,0,32,13
5,53,2,1,200,2,0,15,0,33,17,1,474,2,0,35,13
5.2,9,2,0,195,6,2,15,0,34,16,0,488,2,0,23,17
5.4,3,12,0,201,14,1,15,0,34,15,0,498,2,0,7,26
5.6000000000000005,1,23,0,199,11,0,17,0,34,20,1,494,2,0,5,27
5.800000000000001,1,29,0,198,13,1,16,0,34,15,0,493,2,0,4,37
6,0,31,0,198,9,1,16,0,34,19,1,490,2,0,1,35
