0.000000e+00 	clampConc 	DA()@Spine 	1.000000e+00 
0.000000e+00 	clampConc 	Ca()@Spine 	1.000000e+00 
1.000000e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.000000e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.000100e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.000100e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.000200e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.000200e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.000300e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.000300e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.000400e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.000400e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.000500e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.000500e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.000600e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.000600e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.000700e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.000700e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.000800e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.000800e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.000900e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.000900e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.001000e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.001000e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.001100e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.001100e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.001200e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.001200e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.001300e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.001300e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.001400e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.001400e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.001500e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.001500e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.001600e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.001600e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.001700e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.001700e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.001800e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.001800e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.001900e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.001900e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.002000e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.002000e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.002100e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.002100e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.002200e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.002200e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.002300e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.002300e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.002400e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.002400e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.002500e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.002500e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.002600e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.002600e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.002700e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.002700e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.002800e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.002800e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.002900e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.002900e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.003000e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.003000e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.003100e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.003100e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.003200e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.003200e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.003300e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.003300e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.003400e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.003400e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.003500e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.003500e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.003600e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.003600e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.003700e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.003700e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.003800e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.003800e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.003900e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.003900e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.004000e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.004000e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.004100e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.004100e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.004200e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.004200e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.004300e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.004300e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.004400e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.004400e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.004500e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.004500e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.004600e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.004600e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.004700e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.004700e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.004800e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.004800e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.004900e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.004900e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.005000e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.005000e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.005100e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.005100e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.005200e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.005200e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.005300e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.005300e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.005400e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.005400e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.005500e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.005500e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.005600e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.005600e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.005700e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.005700e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.005800e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.005800e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.005900e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.005900e+02 	setConc 	Ca()@Spine 	6.000000e-08 
