Time,Obs_Ca,Obs_CaM,Obs_CaM_Ca4,Obs_CaMKII,Obs_CaMKII_CaM_Ca2,Obs_CaMKII_CaM_Ca2_psd,Obs_CaMKII_psd,Obs_cAMP,Obs_Substrate,Obs_D1R,Obs_DA,Obs_D32,Obs_pSubstrate,Obs_PP2B,Obs_PP2Bc,Obs_pARPP21
0,1,38,0,202,3,0,17,0,35,18,0,444,1,1,3,8
0.2,1,36,0,199,1,0,18,3,35,13,16,450,1,1,5,8
0.4,1,36,0,199,3,0,17,15,34,16,9,446,2,1,2,8
0.6000000000000001,1,41,0,203,5,0,19,17,35,15,6,441,1,0,4,8
0.8,1,35,0,193,9,0,23,30,35,15,4,440,1,1,4,11
1,1,33,0,196,3,2,17,32,34,18,2,431,1,2,0,18
1.2000000000000002,0,41,0,203,2,0,19,43,35,19,2,433,1,0,6,24
1.4000000000000001,1,35,0,199,3,0,18,38,36,19,1,429,0,1,6,29
1.6,1,38,0,197,2,0,20,48,36,17,1,433,0,2,2,31
1.8,0,39,0,206,1,1,13,45,35,17,0,429,0,1,0,31
2,0,39,0,202,2,0,18,37,35,16,0,432,1,0,6,37
2.2,1,35,0,200,2,0,18,33,34,20,1,431,2,0,3,38
2.4000000000000004,1,41,0,205,3,0,17,22,34,19,1,440,2,0,0,39
2.6,1,41,0,208,3,0,14,8,34,16,0,437,2,0,0,41
2.8000000000000003,1,31,0,195,3,1,16,1,34,13,0,442,2,1,3,43
3,0,35,0,193,4,0,23,3,34,17,0,441,1,0,6,42
3.2,1,39,0,202,3,1,19,0,35,19,0,440,1,0,2,43
3.4000000000000004,1,36,0,199,4,0,20,0,35,20,1,440,1,0,1,51
3.6,1,39,0,202,2,0,18,0,35,18,1,440,1,0,5,53
3.8000000000000003,1,37,0,203,1,0,18,0,35,14,0,438,1,0,2,52
4,1,39,0,205,8,0,17,0,35,21,0,426,1,0,1,51
4.2,21,12,0,195,7,0,19,0,34,17,0,429,2,0,26,30
4.4,34,0,0,193,5,1,18,0,34,16,0,442,2,0,33,21
4.6000000000000005,43,0,0,200,3,0,19,0,34,18,0,446,2,0,35,12
4.800000000000001,48,0,0,195,6,1,18,0,33,17,0,457,2,0,34,21
5,52,1,0,195,4,1,20,0,34,18,0,465,2,0,33,17
5.2,9,7,0,198,14,0,21,0,33,19,0,473,3,0,20,31
5.4,2,12,0,194,17,1,22,0,34,20,0,471,1,0,5,34
5.6000000000000005,1,22,0,195,10,1,24,1,35,16,1,471,1,0,6,36
5.800000000000001,1,21,0,194,8,0,18,0,34,17,0,469,2,0,5,44
6,1,34,0,201,5,0,19,0,35,17,0,467,1,0,4,45
6.2,1,29,0,197,7,1,15,1,35,16,0,458,1,0,0,50
6.4,1,39,0,203,6,0,18,0,35,16,0,458,1,0,3,47
6.6000000000000005,1,29,0,198,3,0,14,0,35,16,0,452,1,0,5,47
6.800000000000001,0,41,0,207,1,0,17,0,35,16,0,447,1,0,1,46
7,1,36,0,202,2,0,16,0,35,19,0,444,1,0,1,41
7.2,0,34,0,203,1,0,14,0,35,18,0,447,0,0,2,38
7.4,1,37,0,206,3,0,16,0,35,18,0,446,0,0,3,36
7.6000000000000005,0,37,0,204,4,0,17,0,35,17,0,438,0,1,4,36
7.800000000000001,1,33,0,198,6,0,19,0,36,20,0,443,0,0,4,37
8,0,36,0,201,6,0,18,0,36,18,0,436,0,0,5,37
8.200000000000001,1,37,0,203,5,1,16,0,35,17,0,436,0,0,1,37
8.4,1,30,0,197,6,1,15,0,35,17,1,432,1,0,4,36
8.6,1,44,0,211,4,0,15,1,35,19,0,436,1,0,1,33
8.8,1,33,0,203,5,1,13,0,35,18,0,441,1,0,8,30
9,1,39,0,205,5,0,17,0,35,15,1,445,1,0,8,31
9.200000000000001,1,33,0,200,0,0,14,0,35,17,1,444,1,1,0,29
9.4,1,39,0,205,4,0,14,0,34,18,0,447,2,1,3,28
9.600000000000001,0,41,0,208,0,1,15,0,34,16,0,451,2,1,1,28
9.8,1,39,0,203,3,0,16,0,35,16,0,449,1,1,4,26
10,0,37,0,202,3,1,17,0,36,19,1,437,0,0,3,23
10.200000000000001,1,42,0,201,3,0,23,0,33,17,1,443,3,1,4,25
10.4,1,38,0,200,2,0,19,0,33,15,1,445,3,1,4,24
10.600000000000001,1,34,0,198,5,0,17,0,33,21,0,445,2,1,3,26
10.8,1,37,0,200,5,0,19,0,32,19,1,446,3,1,4,22
11,0,35,0,199,5,0,17,2,31,18,0,460,3,2,0,19
11.200000000000001,0,39,0,206,2,1,15,0,32,19,0,453,2,0,0,21
11.4,1,37,0,200,3,0,19,1,32,14,0,462,2,0,4,20
11.600000000000001,1,36,0,200,1,1,17,1,33,18,0,455,2,0,4,19
11.8,1,33,0,196,2,0,19,0,34,14,0,442,2,0,3,18
12,0,35,0,200,2,1,17,0,34,20,0,445,1,0,1,18
12.200000000000001,1,33,0,198,5,1,17,0,35,18,0,445,1,0,3,21
12.4,1,32,0,195,6,0,19,1,35,19,0,452,1,0,2,18
12.600000000000001,1,31,0,197,5,0,17,0,36,21,0,442,0,0,3,18
12.8,1,33,0,195,4,1,20,0,35,18,0,443,1,0,1,18
13,1,39,0,201,6,0,19,0,36,19,0,448,0,1,1,15
13.200000000000001,1,36,0,201,2,0,17,0,35,17,0,443,0,0,2,16
13.4,1,40,0,204,0,0,18,0,34,21,0,449,2,0,5,15
13.600000000000001,0,41,0,205,1,0,18,0,35,20,0,452,1,0,4,14
13.8,0,43,0,205,4,0,19,1,35,17,0,454,1,0,4,14
14,1,39,0,204,4,0,16,1,34,18,0,441,2,1,2,14
14.200000000000001,1,39,0,199,3,0,21,2,33,20,0,434,3,0,1,12
14.4,0,36,0,197,2,0,20,4,33,17,1,437,2,0,3,13
14.600000000000001,1,39,0,198,1,0,21,4,34,14,1,442,2,1,0,11
14.8,1,36,0,198,1,2,19,11,33,19,0,438,2,1,3,13
15,1,38,0,196,3,0,23,10,34,19,0,439,2,0,4,15
15.200000000000001,0,39,0,199,3,1,21,7,34,17,0,444,2,0,1,16
15.4,1,35,0,195,1,0,23,1,34,16,1,447,1,1,6,17
15.600000000000001,1,34,0,199,2,0,17,2,35,20,0,442,1,1,5,16
15.8,1,34,0,195,1,1,21,0,34,15,0,439,2,0,4,17
16,1,36,0,196,3,0,23,0,33,16,0,436,3,0,3,20
16.2,0,37,0,197,2,0,22,0,33,20,0,446,2,0,0,25
16.400000000000002,1,31,0,191,4,0,22,0,33,17,0,439,2,0,1,24
16.6,1,40,0,200,5,1,21,1,34,19,0,436,1,0,4,27
16.8,1,33,0,191,6,1,25,1,34,20,0,430,2,0,1,26
17,1,35,0,193,1,0,24,2,31,20,0,430,4,1,1,24
17.2,1,34,0,194,3,0,22,1,31,14,0,429,5,0,4,30
