Time,Obs_Ca,Obs_CaM,Obs_CaM_Ca4,Obs_CaMKII,Obs_CaMKII_CaM_Ca2,Obs_CaMKII_CaM_Ca2_psd,Obs_CaMKII_psd,Obs_cAMP,Obs_Substrate,Obs_D1R,Obs_DA,Obs_D32,Obs_pSubstrate,Obs_PP2B,Obs_PP2Bc,Obs_pARPP21
0,1,38,0,202,3,0,17,0,35,18,0,444,1,1,3,8
0.2,1,42,0,205,7,1,17,2,35,17,0,440,1,1,6,9
0.4,1,35,0,200,2,0,17,0,33,17,0,437,1,0,1,9
0.6000000000000001,1,33,0,195,2,0,19,0,34,20,0,439,1,0,3,8
0.8,1,29,0,194,3,0,18,1,35,17,0,444,0,0,6,3
1,1,40,0,203,5,0,18,0,36,20,0,441,0,0,3,9
1.2000000000000002,1,36,0,201,4,0,16,0,36,17,0,436,0,0,7,8
1.4000000000000001,1,41,0,206,1,0,15,0,35,19,0,438,0,1,1,9
1.6,0,37,0,202,6,0,17,0,36,17,0,440,0,0,9,7
1.8,1,32,0,197,2,0,16,1,34,18,0,442,2,0,1,8
2,1,41,0,205,2,0,18,2,32,18,1,453,4,0,3,9
2.2,1,41,0,204,0,0,20,4,32,20,0,450,4,0,6,12
2.4000000000000004,1,39,0,203,1,0,18,5,33,18,0,450,3,0,3,11
2.6,1,33,0,199,5,0,16,8,33,15,0,452,3,1,4,11
2.8000000000000003,1,33,0,198,3,0,17,3,32,19,1,458,4,0,2,13
3,1,40,0,208,2,0,13,3,32,20,1,462,4,0,4,12
3.2,1,35,0,205,1,0,14,6,33,19,0,457,2,0,4,11
3.4000000000000004,1,34,0,202,4,1,13,8,34,17,1,451,1,0,4,13
3.6,1,34,0,200,3,0,16,1,36,19,0,458,0,0,3,16
3.8000000000000003,1,36,0,204,2,0,13,0,36,16,0,466,0,1,3,14
4,1,39,0,203,5,0,17,0,36,19,1,462,0,0,4,16
4.2,22,9,0,196,9,1,13,1,36,21,0,469,0,0,31,6
4.4,35,6,0,186,4,2,14,2,36,17,1,472,0,0,34,8
4.6000000000000005,44,0,1,185,7,1,15,1,36,16,0,478,0,0,37,4
4.800000000000001,50,2,0,181,9,0,15,4,36,18,0,493,0,0,35,9
5,53,1,0,184,6,0,17,3,36,18,0,509,0,0,38,2
5.2,10,9,0,187,12,5,15,5,36,17,0,518,0,0,22,12
5.4,2,18,0,195,14,1,16,5,35,18,0,518,1,1,8,14
5.6000000000000005,1,29,0,196,11,1,16,3,35,17,0,515,1,0,1,14
5.800000000000001,1,33,0,199,5,1,15,5,35,18,0,518,1,0,4,21
6,1,40,0,203,6,0,16,2,34,18,0,508,1,0,1,23
6.2,1,38,0,202,2,0,17,0,35,17,1,505,1,0,4,23
6.4,0,38,0,199,5,0,17,0,35,22,0,497,1,0,5,28
6.6000000000000005,0,43,0,208,0,0,16,0,35,17,0,481,1,0,7,20
6.800000000000001,1,34,0,198,2,0,17,0,35,15,0,479,1,0,1,23
7,1,40,0,204,2,1,16,0,36,14,0,480,0,0,2,23
7.2,1,29,0,192,1,2,16,0,34,17,0,481,2,0,2,26
7.4,0,35,0,198,4,0,18,0,35,16,0,479,0,0,3,26
7.6000000000000005,1,36,0,199,2,0,18,0,35,10,0,473,0,0,0,24
7.800000000000001,1,36,0,197,2,0,20,0,35,17,1,465,1,0,4,27
8,0,33,0,192,4,0,22,0,35,17,0,466,1,0,4,26
8.200000000000001,1,41,0,202,3,0,18,0,34,14,1,465,2,0,4,24
8.4,1,39,0,202,1,0,19,0,34,16,0,454,2,0,3,18
8.6,1,38,0,199,2,0,21,0,34,17,0,456,2,0,3,22
8.8,1,45,0,204,1,0,20,0,34,14,0,444,2,0,3,23
9,1,38,0,199,3,0,19,0,32,20,0,451,4,0,6,18
9.200000000000001,1,37,0,195,2,0,20,0,32,18,0,449,4,1,3,23
9.4,0,37,0,199,3,0,19,0,32,14,0,456,4,0,4,20
9.600000000000001,1,37,0,203,1,1,18,0,31,19,0,453,4,0,4,20
9.8,1,35,0,197,4,0,17,1,32,19,0,456,3,1,3,22
10,0,38,0,206,0,0,13,0,32,22,0,453,4,1,3,22
10.200000000000001,0,39,0,204,2,0,15,2,32,20,1,446,4,0,9,22
10.4,0,36,0,203,3,0,14,2,32,20,0,447,4,0,4,17
10.600000000000001,0,31,0,195,3,0,16,2,32,19,0,449,3,0,2,18
10.8,1,41,0,205,1,0,18,3,34,17,1,449,0,0,4,19
11,0,39,0,203,2,1,17,2,35,15,0,441,1,0,9,20
11.200000000000001,1,36,0,201,1,0,16,5,35,19,0,457,1,0,0,20
11.4,0,35,0,201,2,0,15,10,36,16,0,457,0,0,4,21
11.600000000000001,0,37,0,199,2,0,20,6,36,13,0,445,0,0,2,23
11.8,0,33,0,197,3,0,17,6,36,17,0,445,0,1,5,25
12,0,34,0,200,1,0,17,2,36,17,0,435,0,1,1,26
12.200000000000001,1,33,0,197,1,0,17,4,36,18,0,440,0,0,2,27
12.4,1,38,0,200,3,0,19,2,36,15,1,437,0,0,2,30
12.600000000000001,1,39,0,202,2,0,18,3,35,14,0,437,1,0,2,32
12.8,0,35,0,201,3,1,15,2,35,18,0,439,1,0,1,31
13,1,39,0,203,2,0,16,2,33,16,1,441,2,1,0,31
13.200000000000001,1,42,0,208,2,0,16,1,34,19,0,426,2,0,1,26
13.4,1,39,0,205,0,0,16,4,34,17,0,434,2,1,2,32
13.600000000000001,1,40,0,208,0,0,15,2,34,18,0,426,1,0,1,30
13.8,1,38,0,204,1,0,16,2,36,17,1,420,0,0,1,32
14,1,35,0,200,1,0,18,1,36,19,0,431,0,0,3,31
14.200000000000001,1,43,0,207,0,0,18,0,36,18,0,426,0,0,3,30
14.4,0,38,0,203,2,0,16,0,36,16,0,426,0,0,2,33
14.600000000000001,1,40,0,201,1,0,20,0,36,21,0,421,0,0,2,35
14.8,0,33,0,201,1,0,15,1,36,20,0,419,0,0,1,32
15,1,44,0,209,2,1,17,0,36,17,0,420,0,1,2,33
15.200000000000001,1,45,0,207,1,0,20,0,36,19,0,422,0,0,6,34
15.4,0,38,0,202,0,0,18,0,35,17,1,429,1,1,1,35
15.600000000000001,0,36,0,203,1,0,14,0,35,19,0,428,1,1,7,33
15.8,1,41,0,207,3,0,15,0,35,19,0,419,1,1,3,37
16,1,39,0,207,6,0,13,0,35,14,0,432,1,0,3,36
16.2,0,34,0,202,4,0,14,0,35,17,1,433,1,0,1,33
16.400000000000002,1,35,0,209,6,0,7,0,35,16,1,434,1,0,3,33
16.6,1,36,0,211,4,0,7,0,35,16,1,440,1,0,3,33
16.8,0,32,0,205,2,0,10,0,34,18,0,444,2,0,1,37
17,0,35,0,207,1,0,12,0,34,19,0,446,1,0,6,35
17.2,1,36,0,204,2,0,13,0,34,21,0,443,2,0,0,34
17.400000000000002,1,43,0,212,1,1,12,1,33,16,0,429,3,0,2,32
17.6,1,35,0,204,5,0,12,0,33,19,0,426,3,0,5,34
17.8,0,40,0,211,5,0,10,0,33,19,0,424,3,0,1,34
18,0,39,0,207,3,0,14,0,34,19,0,421,2,0,2,32
18.2,1,34,0,204,4,0,11,0,35,20,0,415,1,0,5,33
18.400000000000002,0,38,0,202,4,0,18,0,35,21,0,423,1,0,1,32
18.6,0,37,0,203,2,0,16,0,35,17,0,430,1,0,3,27
18.8,0,37,0,204,3,1,15,0,35,15,0,428,1,0,3,25
19,1,38,0,204,2,0,16,0,35,18,0,430,1,0,2,25
19.200000000000003,1,40,0,207,2,0,15,0,35,19,0,424,0,0,3,27
19.400000000000002,1,38,0,207,3,0,13,0,36,19,0,435,0,0,2,26
19.6,1,38,0,204,5,0,14,0,36,16,0,436,0,1,4,25
19.8,1,32,0,205,4,0,10,0,35,21,1,434,0,0,7,23
20,1,42,0,213,6,1,10,1,35,17,0,434,1,0,6,25
20.200000000000003,0,39,0,210,5,0,11,2,34,16,0,433,2,0,5,26
20.400000000000002,0,34,0,205,6,0,11,2,35,17,1,424,0,0,4,22
20.6,0,38,0,209,4,0,11,1,36,16,0,434,0,0,0,21
20.8,1,36,0,209,3,0,9,3,36,19,0,431,0,1,0,22
21,0,36,0,203,4,0,14,4,35,20,1,433,0,2,4,22
21.200000000000003,0,35,0,203,3,0,14,0,36,18,0,438,0,1,1,20
21.400000000000002,1,39,0,207,1,0,14,3,35,18,0,436,1,0,0,21
21.6,1,35,0,203,2,0,14,3,35,17,0,437,1,0,1,20
21.8,0,41,0,210,2,0,12,5,35,21,0,442,1,0,1,22
22,0,38,0,204,2,1,16,4,35,20,0,439,0,0,3,20
22.200000000000003,1,42,0,209,1,1,14,2,36,17,0,438,0,1,3,22
22.400000000000002,0,30,0,199,5,0,13,3,36,14,0,434,0,1,2,20
22.6,1,36,0,207,3,0,12,2,35,18,0,435,0,0,1,18
22.8,0,32,0,205,3,0,10,0,35,21,0,431,1,0,1,21
23,0,41,0,211,3,1,11,0,35,18,0,433,1,0,4,20
23.200000000000003,1,42,0,215,2,0,11,4,35,16,0,433,1,0,1,23
23.400000000000002,1,40,0,209,2,0,13,4,34,18,0,432,1,0,1,19
23.6,0,36,0,204,0,0,13,6,35,17,0,431,1,0,2,20
23.8,1,34,0,200,2,0,15,4,35,15,0,433,1,0,2,22
24,1,35,0,202,2,0,15,3,35,14,1,437,1,0,0,23
24.200000000000003,1,38,0,205,2,0,15,7,35,17,0,435,1,0,0,25
24.400000000000002,1,34,0,203,1,0,12,5,35,14,0,439,1,0,1,26
24.6,0,34,0,203,4,1,12,1,36,18,1,452,0,0,4,30
24.8,1,35,0,204,4,0,15,0,36,21,0,447,0,0,2,29
25,1,37,0,207,2,1,14,0,36,17,0,451,0,0,0,31
25.200000000000003,0,31,0,197,2,1,17,1,36,16,1,454,0,1,0,30
25.400000000000002,1,42,1,207,2,1,15,1,36,15,0,462,0,2,2,36
25.6,1,38,0,206,4,0,13,0,35,17,1,449,1,1,4,35
25.8,0,35,0,204,2,0,14,0,35,18,0,459,1,0,0,36
26,1,32,0,201,4,0,15,0,35,17,0,459,1,1,2,31
26.200000000000003,1,33,0,202,3,0,13,2,35,18,1,457,1,1,3,32
