Time,Obs_AC5,Obs_AC5_ATP,Obs_AC5_Ca,Obs_AC5_Ca_ATP,Obs_AC5_Ca_GaolfGTP,Obs_AC5_Ca_GaolfGTP_ATP,Obs_AC5_GaolfGTP,Obs_AC5_GaolfGTP_ATP,Obs_B56PP2A,Obs_B56PP2A_D32p75,Obs_B56PP2A_pARPP21,Obs_B56PP2Ap,Obs_B56PP2Ap_D32p75,Obs_B56PP2Ap_pARPP21,Obs_B72PP2A,Obs_B72PP2A_D32p34,Obs_B72PP2A_D32p75,Obs_B72PP2A_pARPP21,Obs_B72PP2A_Ca_D32p34,Obs_B72PP2A_Ca_D32p75,Obs_B72PP2A_Ca,Obs_B72PP2A_Ca_pARPP21,Obs_Ca,Obs_CaM,Obs_CaM_Ca2,Obs_CaM_Ca4,Obs_CaM_Ca4_pARPP21,Obs_CaMKII,Obs_CaMKII_CaM_Ca4,Obs_CaMKII_CaM,Obs_CaMKII_CaM_Ca2,Obs_CaMKII_CaM_Ca2_psd,Obs_CaMKII_CaM_psd,Obs_CaMKII_CaM_Ca4_psd,Obs_CaMKII_psd,Obs_cAMP,Obs_Substrate,Obs_CDK5,Obs_CDK5_D32,Obs_D1R,Obs_D1R_DA,Obs_D1R_Golf_DA,Obs_D1R_Golf,Obs_D32p34,Obs_D32p75,Obs_DA,Obs_D32,Obs_GaolfGDP,Obs_GaolfGTP,Obs_Gbgolf,Obs_Golf,Obs_pCaMKII,Obs_pCaMKII_CaM_Ca4,Obs_pCaMKII_CaM,Obs_pCaMKII_CaM_Ca2,Obs_pCaMKII_CaM_Ca2_psd,Obs_pCaMKII_CaM_psd,Obs_pCaMKII_CaM_Ca4_psd,Obs_pCaMKII_psd,Obs_pSubstrate,Obs_PDE4,Obs_PDE4_cAMP,Obs_PDE10r,Obs_PDE10r_cAMP,Obs_PDE10c,Obs_PDE10c_cAMP,Obs_PKA,Obs_PKAc,Obs_PKAc_B56PP2A,Obs_PKAc_D32,Obs_PKAc_ARPP21,Obs_PKA_Ca2MP,Obs_PKA_Ca4MP,Obs_PKAc_D32p75,Obs_PKAreg,Obs_PP1,Obs_PP1_pCaMKII_psd,Obs_PP1_pSubstrate,Obs_PP1_D32p34,Obs_CaMKII_CaM_Ca4_psd_CaMKII_CaM_Ca4_psd,Obs_pCaMKII_CaM_Ca4_psd_CaMKII_CaM_Ca4_psd,Obs_CaMKII_CaM_Ca4_CaMKII_CaM_Ca4,Obs_pCaMKII_CaM_Ca4_CaMKII_CaM_Ca4,Obs_PP2B,Obs_PP2Bc,Obs_PP2Bc_D32p34,Obs_PP2B_CaM,Obs_PP2B_CaM_Ca2,Obs_pARPP21,Obs_ARPP21,Obs_pCaMKII_psd_Substrate,Obs_pCaMKII_CaM_psd_Substrate,Obs_pCaMKII_CaM_Ca2_psd_Substrate,Obs_pCaMKII_CaM_Ca4_psd_Substrate,Obs_CaMKII_CaM_psd_Substrate,Obs_CaMKII_CaM_Ca2_psd_Substrate,Obs_CaMKII_CaM_Ca4_psd_Substrate
0,0,40,0,1,0,0,0,2,55,45,1,8,11,0,61,0,50,1,0,5,4,0,3,192,3,0,0,1011,1,81,14,1,7,0,88,2,175,82,28,89,0,0,31,0,632,2,2217,0,0,2,87,0,0,0,0,0,0,0,0,5,91,29,24,18,0,0,69,0,0,0,1,0,0,2,3,161,0,1,19,0,0,0,0,1,14,3,0,223,35,1165,0,0,0,0,1,0,0
0.05,0,41,0,0,0,0,0,2,49,49,3,8,11,0,65,0,46,2,0,5,3,0,4,198,2,0,0,1017,0,71,19,2,7,0,87,2,175,85,25,92,0,0,28,0,630,1,2222,0,0,2,90,0,0,0,0,0,0,0,0,5,90,30,19,23,0,0,69,0,0,2,1,0,0,0,3,161,0,1,19,0,0,0,0,1,12,3,0,225,31,1166,0,0,0,0,1,0,0
0.1,0,41,0,0,0,0,0,2,57,43,1,9,9,1,65,0,46,2,0,3,4,1,3,194,3,0,1,1012,0,74,18,0,9,0,89,4,174,83,27,85,0,1,34,0,639,1,2220,0,0,2,83,0,0,0,0,0,0,0,0,5,93,27,21,21,0,0,69,0,0,0,0,0,0,3,3,161,0,1,19,0,0,0,0,2,9,3,0,227,30,1167,0,0,0,0,2,0,0
0.15000000000000002,1,40,0,0,0,0,0,2,56,44,1,11,7,1,51,0,58,2,0,8,2,0,4,199,2,0,0,1016,0,75,14,2,7,0,90,1,174,79,31,83,0,0,37,0,623,1,2216,0,0,2,81,0,0,0,0,0,0,0,0,7,91,29,25,17,0,0,69,0,0,0,0,0,0,3,3,161,0,1,19,0,0,0,0,0,16,3,0,222,32,1167,0,0,0,0,0,0,0
0.2,0,40,0,1,0,0,0,2,56,44,1,10,9,0,53,0,57,0,0,4,7,0,3,189,1,0,0,1007,1,85,12,0,11,0,88,0,174,84,26,85,0,0,35,0,627,1,2220,0,0,2,83,0,0,0,0,0,0,0,0,7,93,27,28,14,0,0,68,0,0,1,0,1,0,2,3,161,0,1,19,0,0,0,0,0,13,3,0,225,35,1167,0,0,0,0,0,0,0
0.25,0,40,0,1,0,0,0,2,52,49,0,9,10,0,64,0,45,1,0,8,3,0,4,187,3,0,0,1005,1,90,12,0,6,0,90,5,174,81,29,90,0,0,30,0,619,1,2227,0,0,2,88,0,0,0,0,0,0,0,0,7,93,27,29,13,0,0,69,0,0,1,0,0,0,2,3,159,0,1,21,0,0,0,0,0,17,1,0,223,35,1167,0,0,0,0,0,0,0
0.30000000000000004,1,40,0,0,0,0,0,2,51,48,2,8,11,0,68,0,43,1,0,4,5,0,4,190,4,0,0,1012,0,79,17,0,10,0,86,3,173,83,27,87,0,1,32,0,619,1,2235,0,0,2,85,0,0,0,0,0,0,0,0,9,91,29,26,16,0,0,69,0,0,0,0,0,0,3,3,160,0,0,21,0,0,0,0,1,19,1,0,220,34,1166,0,0,0,0,0,0,0
0.35000000000000003,1,40,0,0,0,0,0,2,66,34,1,9,10,0,73,0,42,0,0,2,4,0,4,202,4,0,0,1014,0,74,17,1,2,0,96,1,172,82,28,89,1,0,30,0,639,2,2233,0,0,2,88,0,0,0,0,0,0,0,0,9,95,25,22,20,0,0,68,0,0,0,1,1,0,2,3,159,0,1,21,0,0,0,0,1,13,1,0,226,36,1165,0,0,0,0,0,0,0
0.4,0,40,0,1,0,0,0,2,54,44,3,10,9,0,65,0,48,1,0,3,4,0,4,197,0,0,0,1016,1,73,16,3,8,0,86,2,171,73,37,80,1,0,39,0,624,1,2225,0,0,2,79,0,0,0,0,0,0,0,0,9,97,23,25,17,0,0,69,1,0,0,2,0,0,0,3,159,0,1,21,0,0,0,0,0,17,1,1,222,33,1164,0,0,0,0,1,0,0
0.45,0,39,0,1,0,0,0,3,50,50,1,6,13,0,73,0,41,1,0,4,2,0,4,200,4,0,0,1013,1,69,18,1,7,0,95,2,172,86,24,88,1,0,31,0,624,1,2234,0,0,3,86,0,0,0,0,0,0,0,0,9,95,25,21,21,0,0,69,1,0,0,2,0,0,0,3,159,0,1,21,0,0,0,0,1,23,1,0,216,36,1163,0,0,0,0,0,0,0
0.5,1,39,0,0,0,0,0,3,59,41,1,8,11,0,60,0,50,3,0,6,1,1,4,197,4,0,1,1014,1,71,13,3,9,0,93,1,173,76,34,96,2,0,22,0,612,1,2233,0,0,3,95,0,0,0,0,0,0,0,0,8,93,27,20,22,0,0,69,0,0,1,0,0,0,2,3,159,0,1,21,0,0,0,0,0,18,1,0,222,34,1163,0,0,0,0,0,0,0
0.55,0,40,0,0,0,0,0,3,61,40,0,7,11,1,68,0,44,2,0,5,2,0,3,185,6,0,0,993,0,80,21,1,6,0,103,1,173,76,34,90,0,0,30,0,626,1,2228,0,0,3,87,0,0,0,0,0,0,0,0,8,92,28,20,22,0,0,69,0,0,1,1,0,0,1,3,159,0,1,21,0,0,0,0,0,11,1,0,229,38,1161,0,0,0,0,0,0,0
0.6000000000000001,0,40,0,0,0,0,0,3,67,34,0,7,12,0,65,0,49,1,0,3,3,0,3,188,4,0,0,991,0,80,21,1,6,1,104,3,174,82,28,91,0,0,29,0,630,1,2233,0,0,3,88,0,0,0,0,0,0,0,0,8,87,33,23,19,0,0,69,0,0,1,2,0,0,0,3,160,0,0,21,0,0,0,0,2,10,1,0,228,39,1161,0,0,0,0,0,0,0
0.65,0,40,0,0,0,0,0,3,52,47,2,8,11,0,62,0,50,2,0,4,3,0,3,199,1,0,0,1000,2,74,18,1,7,0,102,4,173,83,27,87,0,0,33,0,619,2,2231,0,0,3,84,0,0,0,0,0,0,0,0,9,86,34,26,16,0,0,67,0,0,0,1,2,0,2,3,160,0,0,21,0,0,0,0,3,15,0,0,223,35,1163,0,0,0,0,0,0,0
