Time,Obs_Ca,Obs_CaM,Obs_CaM_Ca4,Obs_CaMKII,Obs_CaMKII_CaM_Ca2,Obs_CaMKII_CaM_Ca2_psd,Obs_CaMKII_psd,Obs_cAMP,Obs_Substrate,Obs_D1R,Obs_DA,Obs_D32,Obs_pSubstrate,Obs_PP2B,Obs_PP2Bc,Obs_pARPP21
0,1,38,0,202,3,0,17,0,35,18,0,444,1,1,3,8
0.2,0,40,0,205,1,1,16,1,34,19,1,437,2,1,3,7
0.4,1,42,0,209,0,0,13,0,35,18,1,436,1,1,2,7
0.6000000000000001,1,34,0,198,1,1,16,0,35,18,0,439,1,1,0,8
0.8,1,48,0,210,1,0,18,0,35,16,0,438,1,1,3,6
1,1,46,0,207,2,0,19,0,35,18,1,438,0,1,4,5
1.2000000000000002,1,38,0,199,1,0,20,1,36,18,15,442,0,1,4,5
1.4000000000000001,0,36,0,198,1,1,18,7,36,17,10,448,0,2,5,5
1.6,1,33,0,194,2,1,19,25,36,19,6,453,0,1,2,5
1.8,1,38,0,199,2,0,20,39,36,17,4,455,0,0,0,9
2,1,41,0,201,2,0,21,52,36,18,2,440,0,0,5,13
2.2,0,43,0,206,1,0,18,63,36,17,2,447,0,0,4,20
2.4000000000000004,1,35,0,198,2,0,19,65,35,15,1,437,1,0,4,20
2.6,1,34,0,201,1,0,16,52,35,23,1,436,1,0,5,21
2.8000000000000003,1,36,0,203,5,0,15,59,35,18,1,428,1,0,2,25
3,1,34,0,205,6,0,12,62,35,22,1,427,1,0,1,26
3.2,0,33,0,200,6,0,14,57,35,19,1,428,1,0,0,34
3.4000000000000004,0,37,0,203,2,1,15,47,35,19,0,422,1,0,6,37
3.6,0,40,0,206,1,0,15,40,35,17,0,436,1,0,0,39
3.8000000000000003,1,30,0,198,1,2,13,23,34,15,1,432,2,0,4,38
4,1,37,0,206,1,0,14,16,33,19,0,433,3,0,0,48
4.2,21,12,0,202,6,0,14,19,33,16,0,450,3,0,25,22
4.4,33,0,0,204,3,0,13,19,33,17,0,453,3,0,31,16
4.6000000000000005,42,0,1,201,8,0,10,33,34,20,0,475,2,0,33,22
4.800000000000001,48,0,0,200,5,0,12,34,34,21,0,483,2,0,29,25
5,52,3,0,208,1,0,11,34,34,20,0,489,1,0,34,22
5.2,10,6,0,204,13,0,13,36,34,19,1,500,2,0,25,29
5.4,2,10,0,199,13,1,14,36,33,16,0,487,3,0,4,40
5.6000000000000005,1,18,0,202,14,0,14,25,34,17,1,484,2,0,3,51
5.800000000000001,0,31,0,202,6,2,13,17,34,17,1,483,2,0,2,55
6,0,33,0,197,5,0,19,3,33,17,0,480,1,0,3,59
6.2,1,40,0,204,3,1,17,0,35,16,0,481,1,0,1,61
6.4,1,36,0,199,1,0,18,1,34,17,0,477,1,1,2,58
6.6000000000000005,0,41,0,206,3,0,14,0,32,18,0,472,2,0,0,67
