Time,Obs_Ca,Obs_CaM,Obs_CaM_Ca4,Obs_CaMKII,Obs_CaMKII_CaM_Ca2,Obs_CaMKII_CaM_Ca2_psd,Obs_CaMKII_psd,Obs_cAMP,Obs_Substrate,Obs_D1R,Obs_DA,Obs_D32,Obs_pSubstrate,Obs_PP2B,Obs_PP2Bc,Obs_pARPP21
0,1,38,0,202,3,0,17,0,35,18,0,444,1,1,3,8
0.2,1,42,0,205,7,1,17,2,35,17,0,440,1,1,6,9
0.4,1,35,0,200,2,0,17,0,33,17,0,437,1,0,1,9
0.6000000000000001,1,33,0,195,2,0,19,0,34,20,0,439,1,0,3,8
0.8,1,29,0,194,3,0,18,1,35,17,0,444,0,0,6,3
1,1,40,0,203,5,0,18,0,36,20,0,441,0,0,3,9
1.2000000000000002,1,36,0,201,4,0,16,0,36,17,0,436,0,0,7,8
1.4000000000000001,1,41,0,206,1,0,15,0,35,19,0,438,0,1,1,9
1.6,0,37,0,202,6,0,17,0,36,17,0,440,0,0,9,7
1.8,1,32,0,197,2,0,16,1,34,18,0,442,2,0,1,8
2,1,41,0,205,2,0,18,2,32,18,1,453,4,0,3,9
2.2,1,41,0,204,0,0,20,4,32,20,0,450,4,0,6,12
2.4000000000000004,1,39,0,203,1,0,18,5,33,18,0,450,3,0,3,11
2.6,1,33,0,199,5,0,16,8,33,15,0,452,3,1,4,11
2.8000000000000003,1,33,0,198,3,0,17,3,32,19,1,458,4,0,2,13
3,1,40,0,208,2,0,13,3,32,20,1,462,4,0,4,12
3.2,1,35,0,205,1,0,14,6,33,19,0,457,2,0,4,11
3.4000000000000004,1,34,0,202,4,1,13,8,34,17,1,451,1,0,4,13
3.6,1,34,0,200,3,0,16,1,36,19,0,458,0,0,3,16
3.8000000000000003,1,36,0,204,2,0,13,0,36,16,0,466,0,1,3,14
4,1,39,0,203,5,0,17,0,36,19,1,462,0,0,4,16
4.2,22,9,0,196,9,1,13,1,36,21,0,469,0,0,31,6
4.4,35,6,0,186,4,2,14,2,36,17,1,472,0,0,34,8
4.6000000000000005,44,0,1,185,7,1,15,1,36,16,0,478,0,0,37,4
4.800000000000001,50,2,0,181,9,0,15,4,36,18,0,493,0,0,35,9
5,53,1,0,184,6,0,17,3,36,18,0,509,0,0,38,2
5.2,10,3,2,183,10,2,23,1,36,14,15,508,0,0,16,7
5.4,2,16,0,189,17,2,21,19,36,15,10,522,0,0,4,14
5.6000000000000005,1,27,0,193,8,1,19,14,36,18,6,513,0,0,3,21
5.800000000000001,1,33,0,193,7,0,22,22,36,17,4,516,0,0,5,23
6,1,28,0,189,4,2,19,48,35,17,3,497,0,0,1,29
6.2,1,35,0,195,5,0,22,60,36,15,2,486,0,0,1,31
6.4,1,35,0,197,3,0,20,52,36,21,1,475,0,1,5,38
6.6000000000000005,1,39,0,197,3,0,22,52,36,18,1,451,0,1,3,43
6.800000000000001,0,37,0,197,1,0,22,42,36,16,0,446,0,0,1,55
7,1,34,0,188,1,0,25,42,36,20,1,439,0,1,3,60
7.2,1,41,0,195,2,0,26,36,35,18,0,436,1,0,2,64
7.4,0,36,0,191,2,0,25,38,34,18,1,420,2,0,2,70
7.6000000000000005,0,35,0,191,4,1,23,43,33,21,0,426,2,0,1,70
7.800000000000001,1,35,0,192,2,0,24,46,33,18,0,434,3,0,4,72
8,0,37,0,194,1,0,25,50,33,19,1,430,3,0,4,70
8.200000000000001,1,34,0,192,5,0,21,53,32,16,0,436,4,0,0,85
8.4,0,37,0,201,2,0,18,54,31,22,0,439,4,0,3,87
8.6,0,33,0,201,3,0,15,48,31,21,0,433,5,0,0,84
8.8,0,40,0,203,0,0,18,29,31,18,0,419,5,0,2,77
9,0,35,0,200,3,0,15,10,32,15,0,427,4,0,3,74
9.200000000000001,1,42,0,203,1,0,20,3,31,15,0,415,5,0,0,89
9.4,1,40,0,202,3,0,21,1,30,15,1,419,5,0,7,87
9.600000000000001,1,39,0,196,6,0,24,2,32,22,1,420,4,0,2,86
9.8,1,35,0,199,3,1,18,3,32,18,1,419,4,0,3,87
10,0,31,0,196,2,1,17,1,32,17,1,427,4,0,1,88
10.200000000000001,1,35,0,202,3,0,16,0,31,22,0,427,4,0,2,89
10.4,1,36,0,203,5,0,17,0,31,17,0,430,4,0,1,91
10.600000000000001,1,27,0,197,3,1,15,0,32,15,0,431,3,0,2,83
10.8,0,31,0,200,6,1,12,1,31,17,0,430,4,0,1,88
11,1,41,0,208,1,0,16,1,32,17,0,432,4,0,2,81
11.200000000000001,1,42,0,212,0,0,13,0,32,18,0,429,4,0,0,84
11.4,1,35,0,204,4,1,13,0,30,19,1,421,4,0,7,78
11.600000000000001,1,31,0,201,5,0,13,0,31,18,1,421,4,0,2,77
11.8,1,39,0,210,2,0,10,2,32,14,1,430,4,1,3,74
12,1,32,0,204,3,0,10,2,30,20,0,420,4,1,1,75
12.200000000000001,1,31,0,202,5,0,10,1,31,17,0,419,5,0,5,74
12.4,1,31,0,201,6,0,12,0,30,19,0,418,6,0,6,72
12.600000000000001,1,35,0,211,3,0,10,0,30,20,0,421,5,0,1,68
12.8,1,34,0,210,1,0,11,0,31,18,0,416,5,0,1,65
13,0,36,0,207,4,0,11,0,31,17,0,411,5,0,5,69
13.200000000000001,1,32,0,205,3,1,11,0,31,17,0,414,4,0,4,67
13.4,1,37,0,206,5,1,12,1,33,21,0,413,3,1,0,67
13.600000000000001,0,35,0,201,3,0,14,0,33,15,0,406,3,1,0,65
13.8,1,35,0,208,2,1,10,0,33,15,0,410,3,0,2,63
14,1,35,0,207,5,1,10,0,33,14,0,409,2,0,5,60
14.200000000000001,0,28,0,209,2,0,7,0,32,18,1,414,3,0,1,55
14.4,0,26,0,202,5,0,7,0,33,17,0,410,1,0,4,54
14.600000000000001,1,38,0,209,4,0,10,0,34,17,0,404,2,0,11,51
14.8,0,37,0,210,3,1,8,0,35,19,0,403,1,0,4,53
15,1,37,0,208,2,1,10,0,35,14,0,403,1,0,0,47
15.200000000000001,1,34,0,206,2,0,9,1,35,19,1,406,1,1,5,46
15.4,1,35,0,206,2,0,10,0,35,17,0,406,1,1,6,46
15.600000000000001,1,43,0,209,3,0,13,0,35,12,1,400,1,1,0,44
15.8,0,42,0,214,6,0,11,0,35,16,0,408,1,0,6,42
16,1,33,0,203,7,0,11,0,35,17,1,402,1,1,3,38
16.2,1,42,0,213,1,0,10,0,35,20,0,411,1,0,0,39
16.400000000000002,0,31,0,200,2,0,13,0,35,16,0,418,1,0,4,35
16.6,1,39,0,209,4,0,12,0,34,19,0,413,2,0,5,37
16.8,0,34,0,205,2,0,12,0,34,19,0,414,2,0,1,35
17,1,36,0,205,4,1,10,0,34,18,0,413,2,2,0,39
17.2,1,39,0,206,2,0,14,0,34,18,0,419,2,0,0,34
17.400000000000002,1,44,0,211,2,0,16,0,34,20,1,416,2,0,4,36
17.6,1,38,0,201,3,0,18,0,34,20,0,416,2,0,0,36
17.8,1,30,0,193,5,0,18,0,34,21,1,420,2,0,4,34
18,1,32,0,197,5,0,16,1,34,16,0,421,2,0,5,31
18.2,1,36,0,204,2,0,14,0,34,22,0,417,1,0,4,31
18.400000000000002,1,35,0,196,2,0,22,0,34,19,0,419,2,0,0,27
18.6,0,33,0,198,3,0,18,1,34,20,0,421,2,0,3,32
18.8,1,31,0,196,4,0,17,0,34,15,0,412,2,0,5,28
19,1,29,0,195,6,0,15,1,33,17,1,425,2,0,0,32
19.200000000000003,1,37,0,201,3,0,18,0,34,17,1,425,2,0,5,31
19.400000000000002,1,35,0,202,5,1,16,0,35,20,1,419,1,0,8,32
19.6,1,44,0,209,2,0,16,0,35,14,0,426,1,0,3,29
19.8,1,42,0,208,2,0,16,0,34,17,0,435,2,0,0,25
20,0,34,0,207,3,1,8,1,34,19,1,432,2,0,0,26
20.200000000000003,1,37,0,208,3,0,12,0,34,20,0,433,2,0,2,26
20.400000000000002,1,41,0,206,1,0,16,0,34,20,0,430,2,0,0,22
20.6,1,37,0,202,4,0,17,0,34,15,0,424,2,0,2,25
20.8,1,39,0,203,1,0,17,0,33,18,1,435,2,0,1,23
21,1,40,0,204,3,0,17,0,34,17,0,435,2,0,3,24
21.200000000000003,1,46,0,208,0,0,18,0,35,18,0,426,1,1,4,22
21.400000000000002,1,33,0,198,6,0,17,0,35,18,0,430,1,2,3,19
21.6,1,32,0,199,4,1,15,0,35,19,1,426,1,1,3,20
21.8,1,34,0,198,4,0,21,0,36,19,0,424,0,0,1,17
22,1,34,0,197,5,1,20,0,36,18,1,423,0,0,2,18
22.200000000000003,1,37,0,199,3,0,20,0,35,17,1,430,1,0,1,16
22.400000000000002,1,34,0,194,4,0,22,0,35,20,0,427,1,0,5,17
22.6,1,37,0,199,3,0,18,0,35,20,0,427,1,1,6,17
22.8,1,34,0,200,3,0,15,0,35,19,0,427,1,1,0,15
23,1,40,0,204,4,0,17,0,35,19,0,423,1,1,4,16
23.200000000000003,1,45,0,208,2,0,20,0,34,16,0,418,1,0,1,15
23.400000000000002,1,44,0,205,1,0,20,0,35,18,1,423,1,0,1,18
23.6,1,38,0,200,1,0,19,0,36,17,0,423,0,0,3,18
23.8,1,39,0,203,4,0,16,0,36,19,0,420,0,1,1,16
24,0,32,0,200,5,0,14,0,36,18,0,421,0,0,1,13
24.200000000000003,1,35,0,205,5,2,13,0,36,19,0,429,0,0,3,17
24.400000000000002,1,38,0,206,3,0,13,0,36,19,0,431,0,0,5,16
24.6,1,43,0,215,0,1,11,1,36,18,0,443,0,0,0,16
24.8,1,39,0,209,2,0,12,0,36,20,1,445,0,0,2,14
25,0,36,0,208,3,0,12,0,36,19,0,443,0,0,6,12
25.200000000000003,1,33,0,201,9,0,13,0,36,17,0,436,0,0,5,14
25.400000000000002,1,36,0,206,3,0,14,0,36,19,0,442,0,0,3,13
25.6,1,43,0,207,2,0,17,0,36,15,0,444,0,0,3,15
25.8,1,36,0,199,3,0,18,0,36,11,1,444,0,0,3,14
26,1,41,0,208,2,0,15,0,36,18,0,441,0,0,2,14
26.200000000000003,0,35,0,203,1,0,13,0,36,18,1,451,0,0,6,14
