!!SBtab	Document='D1 LTP time window' TableName='Compound' TableType='Compound' TableTitle='D1 LTP time window Compounds'								
!ID	!Name	!Unit	!InitialValue	!IsConstant	!Assignement	!Interpolation	!Type	!Location	!IsInput
S0	AC5	nanomole/liter	700	false	false	false	kinetic	Spine	false
S1	AC5_ATP	nanomole/liter	0	false	false	false	kinetic	Spine	false
S2	AC5_Ca	nanomole/liter	0	false	false	false	kinetic	Spine	false
S3	AC5_Ca_ATP	nanomole/liter	0	false	false	false	kinetic	Spine	false
S4	AC5_Ca_GaolfGTP	nanomole/liter	0	false	false	false	kinetic	Spine	false
S5	AC5_Ca_GaolfGTP_ATP	nanomole/liter	0	false	false	false	kinetic	Spine	false
S6	AC5_GaolfGTP	nanomole/liter	0	false	false	false	kinetic	Spine	false
S7	AC5_GaolfGTP_ATP	nanomole/liter	0	false	false	false	kinetic	Spine	false
S8	AMP	nanomole/liter	0	true	false	false	kinetic	Spine	false
S9	ATP	nanomole/liter	5000000	true	ATP_expression	false	kinetic	Spine	false
S10	B56PP2A	nanomole/liter	2000	false	false	false	kinetic	Spine	false
S11	B56PP2A_D32p75	nanomole/liter	0	false	false	false	kinetic	Spine	false
S12	B56PP2A_pARPP21	nanomole/liter	0	false	false	false	kinetic	Spine	false
S13	B56PP2Ap	nanomole/liter	0	false	false	false	kinetic	Spine	false
S14	B56PP2Ap_D32p75	nanomole/liter	0	false	false	false	kinetic	Spine	false
S15	B56PP2Ap_pARPP21	nanomole/liter	0	false	false	false	kinetic	Spine	false
S16	B72PP2A	nanomole/liter	2000	false	false	false	kinetic	Spine	false
S17	B72PP2A_D32p34	nanomole/liter	0	false	false	false	kinetic	Spine	false
S18	B72PP2A_D32p75	nanomole/liter	0	false	false	false	kinetic	Spine	false
S19	B72PP2A_pARPP21	nanomole/liter	0	false	false	false	kinetic	Spine	false
S20	B72PP2A_Ca_D32p34	nanomole/liter	0	false	false	false	kinetic	Spine	false
S21	B72PP2A_Ca_D32p75	nanomole/liter	0	false	false	false	kinetic	Spine	false
S22	B72PP2A_Ca	nanomole/liter	0	false	false	false	kinetic	Spine	false
S23	B72PP2A_Ca_pARPP21	nanomole/liter	0	false	false	false	kinetic	Spine	false
S24	Ca	nanomole/liter	60	true	Ca_expression	true	kinetic	Spine	true
S25	CaM	nanomole/liter	9000	false	false	false	kinetic	Spine	false
S26	CaM_Ca2	nanomole/liter	0	false	false	false	kinetic	Spine	false
S27	CaM_Ca4	nanomole/liter	0	false	false	false	kinetic	Spine	false
S28	CaM_Ca4_pARPP21	nanomole/liter	0	false	false	false	kinetic	Spine	false
S29	CaMKII	nanomole/liter	20000	false	false	false	kinetic	Spine	false
S30	CaMKII_CaM_Ca4	nanomole/liter	0	false	false	false	kinetic	Spine	false
S31	CaMKII_CaM	nanomole/liter	0	false	false	false	kinetic	Spine	false
S32	CaMKII_CaM_Ca2	nanomole/liter	0	false	false	false	kinetic	Spine	false
S33	CaMKII_CaM_Ca2_psd	nanomole/liter	0	false	false	false	kinetic	Spine	false
S34	CaMKII_CaM_psd	nanomole/liter	0	false	false	false	kinetic	Spine	false
S35	CaMKII_CaM_Ca4_psd	nanomole/liter	0	false	false	false	kinetic	Spine	false
S36	CaMKII_psd	nanomole/liter	0	false	false	false	kinetic	Spine	false
S37	cAMP	nanomole/liter	0	false	false	false	kinetic	Spine	false
S38	Substrate	nanomole/liter	3000	false	false	false	kinetic	Spine	false
S39	CDK5	nanomole/liter	1800	false	false	false	kinetic	Spine	false
S40	CDK5_D32	nanomole/liter	0	false	false	false	kinetic	Spine	false
S41	D1R	nanomole/liter	2000	false	false	false	kinetic	Spine	false
S42	D1R_DA	nanomole/liter	0	false	false	false	kinetic	Spine	false
S43	D1R_Golf_DA	nanomole/liter	0	false	false	false	kinetic	Spine	false
S44	D1R_Golf	nanomole/liter	0	false	false	false	kinetic	Spine	false
S45	D32p34	nanomole/liter	0	false	false	false	kinetic	Spine	false
