!!SBtab	Document='D1 LTP time window' TableName='Parameter' TableType='Quantity' TableTitle='D1 LTP time window parameters'								
!ID	!Name	!Unit	!DefaultValue	!Comment	!Location	!Scale	!Value:linspace	!Description	
K1	kf_R0	1/millisecond	-1.5229	kf_GaolfGTP__GaolfGDP	Spine	log10	0.03	independent parameter	GaolfGTP <=> GaolfGDP
K2	kf_R1	1/millisecond	-1.8239	kf_D1R_Golf_DA__GbgolfXD1R_DAXGaolfGTP	Spine	log10	0.015	independent parameter	D1R_Golf_DA <=> Gbgolf + D1R_DA + GaolfGTP
K3	kf_R2	1/(nanomole/liter*millisecond)	-4.301	kf_D1R_GolfXDA__D1R_Golf_DA	Spine	log10	5e-05	independent parameter	D1R_Golf + DA <=> D1R_Golf_DA
K4	kr_R2	1/millisecond	-0.60206	kr_D1R_GolfXDA__D1R_Golf_DA	Spine	log10	0.25	independent parameter	D1R_Golf + DA <=> D1R_Golf_DA
K5	kf_R3	1/(nanomole/liter*millisecond)	-4.301	kf_D1RXDA__D1R_DA	Spine	log10	5e-05	independent parameter	D1R + DA <=> D1R_DA
K6	kr_R3	1/millisecond	-0.60206	kr_D1RXDA__D1R_DA	Spine	log10	0.25	independent parameter	D1R + DA <=> D1R_DA
K7	kf_R4	1/(nanomole/liter*millisecond)	-2	kf_AC5XGaolfGTP__AC5_GaolfGTP	Spine	log10	0.01	independent parameter	AC5 + GaolfGTP <=> AC5_GaolfGTP
K8	kr_R4	1/millisecond	-3	kr_AC5XGaolfGTP__AC5_GaolfGTP	Spine	log10	0.001	independent parameter	AC5 + GaolfGTP <=> AC5_GaolfGTP
K9	kf_R5	1/(nanomole/liter*millisecond)	-5.2218	kf_CaMXCa__CaM_Ca2	Spine	log10	6e-06	independent parameter	CaM + Ca <=> CaM_Ca2
K10	kr_R5	1/millisecond	-1.699	kr_CaMXCa__CaM_Ca2	Spine	log10	0.02	independent parameter	CaM + Ca <=> CaM_Ca2
K11	kf_R6	1/(nanomole/liter*millisecond)	-4	kf_PP2BXCaM__PP2B_CaM	Spine	log10	0.0001	independent parameter	PP2B + CaM <=> PP2B_CaM
K12	kr_R6	1/millisecond	0.47712	kr_PP2BXCaM__PP2B_CaM	Spine	log10	3	independent parameter	PP2B + CaM <=> PP2B_CaM
K13	kf_R7	1/(nanomole/liter*millisecond)	-4	kf_CaM_Ca4XPP2B__PP2Bc	Spine	log10	0.0001	independent parameter	CaM_Ca4 + PP2B <=> PP2Bc
K14	kr_R7	1/millisecond	-5.5229	kr_CaM_Ca4XPP2B__PP2Bc	Spine	log10	3e-06	independent parameter	CaM_Ca4 + PP2B <=> PP2Bc
K15	kf_R8	1/(nanomole/liter*millisecond)	-5	kf_PKAcXD32__PKAc_D32	Spine	log10	1e-05	independent parameter	PKAc + D32 <=> PKAc_D32
K16	kr_R8	1/millisecond	-0.69897	kr_PKAcXD32__PKAc_D32	Spine	log10	0.2	independent parameter	PKAc + D32 <=> PKAc_D32
K17	kf_R9	1/millisecond	-2	kf_PKAc_D32__D32p34XPKAc	Spine	log10	0.01	independent parameter	PKAc_D32 <=> D32p34 + PKAc
K18	kf_R10	1/(nanomole/liter*millisecond)	-6	kf_PKAcXB56PP2A__PKAc_B56PP2A	Spine	log10	1e-06	independent parameter	PKAc + B56PP2A <=> PKAc_B56PP2A
K19	kr_R10	1/millisecond	-3.5229	kr_PKAcXB56PP2A__PKAc_B56PP2A	Spine	log10	0.0003	independent parameter	PKAc + B56PP2A <=> PKAc_B56PP2A
K20	kf_R11	1/millisecond	-3.699	kf_PKAc_B56PP2A__B56PP2ApXPKAc	Spine	log10	0.0002	independent parameter	PKAc_B56PP2A <=> B56PP2Ap + PKAc
K21	kf_R12	1/(nanomole/liter*millisecond)	-3	kf_D32p34XPP1__PP1_D32p34	Spine	log10	0.001	independent parameter	D32p34 + PP1 <=> PP1_D32p34
