!!SBtab	SBtabVersion='1.0' Document='Example' TableName='E3' TableTitle='E3' TableType = 'QuantityMatrix'								
!ID	!Time	>Y0	SD_Y0	>Y1	SD_Y1	>Y2	SD_Y2	>Y3	SD_Y3
E1T0	0	4	0.01	0	0.01	2	0.01	0	0.01
E1T1	0.1	4	0.01	0	0.01	2	0.01	0	0.01
E1T2	0.2	4	0.01	0	0.01	2	0.01	0	0.01
E1T3	0.3	4	0.01	0	0.01	2	0.01	0	0.01
E1T4	0.4	4	0.01	0	0.01	2	0.01	0	0.01
E1T5	0.5	4	0.01	0	0.01	2	0.01	0	0.01
E1T6	0.6	4	0.01	0	0.01	2	0.01	0	0.01
E1T7	0.7	4	0.01	0	0.01	2	0.01	0	0.01
E1T8	0.8	4	0.01	0	0.01	2	0.01	0	0.01
E1T9	0.9	4	0.01	0	0.01	2	0.01	0	0.01
E1T10	1	4	0.01	0	0.01	2	0.01	0	0.01
E1T11	1.1	4	0.01	0	0.01	2	0.01	0	0.01
E1T12	1.2	4	0.01	0	0.01	2	0.01	0	0.01
E1T13	1.3	4	0.01	0	0.01	2	0.01	0	0.01
E1T14	1.4	4	0.01	0	0.01	2	0.01	0	0.01
E1T15	1.5	4	0.01	0	0.01	2	0.01	0	0.01
E1T16	1.6	4	0.01	0	0.01	2	0.01	0	0.01
E1T17	1.7	4	0.01	0	0.01	2	0.01	0	0.01
E1T18	1.8	4	0.01	0	0.01	2	0.01	0	0.01
E1T19	1.9	4	0.01	0	0.01	2	0.01	0	0.01
E1T20	2	4	0.01	0	0.01	2	0.01	0	0.01
E1T21	2.1	4	0.01	0	0.01	2	0.01	0	0.01
E1T22	2.2	4	0.01	0	0.01	2	0.01	0	0.01
E1T23	2.3	4	0.01	0	0.01	2	0.01	0	0.01
E1T24	2.4	4	0.01	0	0.01	2	0.01	0	0.01
E1T25	2.5	4	0.01	0	0.01	2	0.01	0	0.01
E1T26	2.6	4	0.01	0	0.01	2	0.01	0	0.01
E1T27	2.7	4	0.01	0	0.01	2	0.01	0	0.01
E1T28	2.8	4	0.01	0	0.01	2	0.01	0	0.01
E1T29	2.9	4	0.01	0	0.01	2	0.01	0	0.01
E1T30	3	4	0.01	0	0.01	2	0.01	0	0.01
E1T31	3.1	2.3825	1.28	1.257	1.2479	1.6333	0.55407	0.32957	0.52801
E1T32	3.2	1.0075	0.87385	2.61	1.0886	0.89339	0.63336	0.94236	0.65883
E1T33	3.3	0.49386	0.47288	3.2798	0.65108	0.42961	0.37082	1.41	0.47538
E1T34	3.4	0.29683	0.27748	3.5574	0.40091	0.25265	0.20569	1.6363	0.28767
E1T35	3.5	0.20964	0.18051	3.6858	0.2726	0.18365	0.13778	1.7347	0.19419
E1T36	3.6	0.16746	0.13161	3.7522	0.19923	0.15245	0.10927	1.7814	0.15395
E1T37	3.7	0.14582	0.10817	3.7883	0.16089	0.13712	0.097652	1.8058	0.13591
E1T38	3.8	0.13423	0.097629	3.809	0.141	0.12917	0.09307	1.8193	0.128
E1T39	3.9	0.12782	0.093107	3.8213	0.13108	0.12487	0.09127	1.827	0.12455
E1T40	4	0.12416	0.091212	3.8287	0.12625	0.12248	0.090556	1.8316	0.12304
E1T41	4.1	1.4435	1.1259	2.7672	1.1166	0.42058	0.47803	1.5601	0.46597
E1T42	4.2	2.7882	0.89527	1.4721	1.0659	1.0784	0.59728	0.99888	0.61814
E1T43	4.3	3.4078	0.55247	0.76114	0.71153	1.5576	0.39769	0.53127	0.47186
E1T44	4.4	3.686	0.35098	0.42129	0.46252	1.7783	0.2365	0.2826	0.30164
E1T45	4.5	3.8245	0.22924	0.24636	0.31035	1.8806	0.1479	0.15996	0.19393
E1T46	4.6	3.8983	0.15217	0.1497	0.21384	1.9326	0.095599	0.095116	0.13025
E1T47	4.7	3.9394	0.10237	0.093549	0.14976	1.9606	0.063109	0.05851	0.089742
E1T48	4.8	3.9631	0.069698	0.059763	0.10622	1.9764	0.042347	0.036918	0.062888
E1T49	4.9	3.9771	0.047973	0.038877	0.076144	1.9856	0.028806	0.023771	0.044655
E1T50	5	3.9856	0.033353	0.025681	0.055091	1.991	0.019825	0.015566	0.032057
E1T51	5.1	3.9908	0.023406	0.017189	0.040187	1.9943	0.013786	0.01034	0.023231
E1T52	5.2	3.9941	0.016569	0.011639	0.02953	1.9964	0.01	0.0069547	0.016976
E1T53	5.3	3.9961	0.011824	0.0079629	0.021843	1.9976	0.01	0.0047294	0.012498
E1T54	5.4	3.9974	0.01	0.005498	0.016254	1.9984	0.01	0.0032478	0.01
E1T55	5.5	3.9983	0.01	0.0038279	0.01216	1.999	0.01	0.0022501	0.01
E1T56	5.6	3.9989	0.01	0.0026853	0.01	1.9993	0.01	0.0015713	0.01
E1T57	5.7	3.9992	0.01	0.0018969	0.01	1.9995	0.01	0.0011054	0.01
E1T58	5.8	3.9995	0.01	0.0013485	0.01	1.9997	0.01	0.00078283	0.01
E1T59	5.9	3.9996	0.01	0.00096434	0.01	1.9998	0.01	0.00055783	0.01
E1T60	6	3.9998	0.01	0.00069339	0.01	1.9999	0.01	0.00039979	0.01
E1T61	6.1	3.9998	0.01	0.00050111	0.01	1.9999	0.01	0.00028805	0.01
E1T62	6.2	3.9999	0.01	0.00036387	0.01	1.9999	0.01	0.00020858	0.01
E1T63	6.3	3.9999	0.01	0.0002654	0.01	2	0.01	0.00015175	0.01
E1T64	6.4	3.9999	0.01	0.00019438	0.01	2	0.01	0.00011088	0.01
E1T65	6.5	4	0.01	0.00014293	0.01	2	0.01	8.1362e-05	0.01
E1T66	6.6	4	0.01	0.00010548	0.01	2	0.01	5.9934e-05	0.01
E1T67	6.7	4	0.01	7.8121e-05	0.01	2	0.01	4.4314e-05	0.01
E1T68	6.8	4	0.01	5.8047e-05	0.01	2	0.01	3.2881e-05	0.01
E1T69	6.9	4	0.01	4.3267e-05	0.01	2	0.01	2.448e-05	0.01
E1T70	7	4	0.01	3.2346e-05	0.01	2	0.01	1.8283e-05	0.01
E1T71	7.1	4	0.01	2.4249e-05	0.01	2	0.01	1.3697e-05	0.01
E1T72	7.2	4	0.01	1.8228e-05	0.01	2	0.01	1.0292e-05	0.01
E1T73	7.3	4	0.01	1.3737e-05	0.01	2	0.01	7.7544e-06	0.01
E1T74	7.4	4	0.01	1.0378e-05	0.01	2	0.01	5.8584e-06	0.01
E1T75	7.5	4	0.01	7.8585e-06	0.01	2	0.01	4.4374e-06	0.01
E1T76	7.6	4	0.01	5.9638e-06	0.01	2	0.01	3.3695e-06	0.01
E1T77	7.7	4	0.01	4.5355e-06	0.01	2	0.01	2.5646e-06	0.01
E1T78	7.8	4	0.01	3.4563e-06	0.01	2	0.01	1.9565e-06	0.01
E1T79	7.9	4	0.01	2.639e-06	0.01	2	0.01	1.4959e-06	0.01
E1T80	8	4	0.01	2.0187e-06	0.01	2	0.01	1.1462e-06	0.01
E1T81	8.1	4	0.01	1.5469e-06	0.01	2	0.01	8.8005e-07	0.01
E1T82	8.2	4	0.01	1.1874e-06	0.01	2	0.01	6.7704e-07	0.01
E1T83	8.3	4	0.01	9.1299e-07	0.01	2	0.01	5.2187e-07	0.01
E1T84	8.4	4	0.01	7.0308e-07	0.01	2	0.01	4.03e-07	0.01
E1T85	8.5	4	0.01	5.4225e-07	0.01	2	0.01	3.1177e-07	0.01
E1T86	8.6	4	0.01	4.1881e-07	0.01	2	0.01	2.4162e-07	0.01
E1T87	8.7	4	0.01	3.2393e-07	0.01	2	0.01	1.8756e-07	0.01
E1T88	8.8	4	0.01	2.5087e-07	0.01	2	0.01	1.4584e-07	0.01
E1T89	8.9	4	0.01	1.9455e-07	0.01	2	0.01	1.1357e-07	0.01
E1T90	9	4	0.01	1.5105e-07	0.01	2	0.01	8.8582e-08	0.01
E1T91	9.1	4	0.01	1.1742e-07	0.01	2	0.01	6.9192e-08	0.01
E1T92	9.2	4	0.01	9.1382e-08	0.01	2	0.01	5.4124e-08	0.01
E1T93	9.3	4	0.01	7.1196e-08	0.01	2	0.01	4.2396e-08	0.01
E1T94	9.4	4	0.01	5.5528e-08	0.01	2	0.01	3.3253e-08	0.01
E1T95	9.5	4	0.01	4.3352e-08	0.01	2	0.01	2.6116e-08	0.01
E1T96	9.6	4	0.01	3.388e-08	0.01	2	0.01	2.0537e-08	0.01
E1T97	9.7	4	0.01	2.6502e-08	0.01	2	0.01	1.6169e-08	0.01
E1T98	9.8	4	0.01	2.075e-08	0.01	2	0.01	1.2745e-08	0.01
E1T99	9.9	4	0.01	1.626e-08	0.01	2	0.01	1.0058e-08	0.01
E1T100	10	4	0.01	1.2753e-08	0.01	2	0.01	7.9456e-09	0.01
