!!SBtab	SBtabVersion='1.0' Document='Example' TableName='E1' TableTitle='E1' TableType = 'QuantityMatrix'								
!ID	!Time	>Y0	SD_Y0	>Y1	SD_Y1	>Y2	SD_Y2	>Y3	SD_Y3
E2T0	0	4	0.01	0	0.01	2	0.01	0	0.01
E2T1	0.1	4	0.01	0	0.01	2	0.01	0	0.01
E2T2	0.2	4	0.01	0	0.01	2	0.01	0	0.01
E2T3	0.3	4	0.01	0	0.01	2	0.01	0	0.01
E2T4	0.4	4	0.01	0	0.01	2	0.01	0	0.01
E2T5	0.5	4	0.01	0	0.01	2	0.01	0	0.01
E2T6	0.6	4	0.01	0	0.01	2	0.01	0	0.01
E2T7	0.7	4	0.01	0	0.01	2	0.01	0	0.01
E2T8	0.8	4	0.01	0	0.01	2	0.01	0	0.01
E2T9	0.9	4	0.01	0	0.01	2	0.01	0	0.01
E2T10	1	4	0.01	0	0.01	2	0.01	0	0.01
E2T11	1.1	3.1781	0.73005	0.69066	0.75594	1.8135	0.30358	0.18147	0.31543
E2T12	1.2	2.1985	0.67811	1.6301	0.79726	1.3532	0.43186	0.58272	0.46071
E2T13	1.3	1.6593	0.47988	2.2146	0.59823	0.97104	0.33867	0.95245	0.40423
E2T14	1.4	1.3821	0.34773	2.5305	0.44222	0.76523	0.24925	1.1777	0.3082
E2T15	1.5	1.2298	0.26341	2.7082	0.3436	0.65638	0.20035	1.3019	0.25193
E2T16	1.6	1.1419	0.21183	2.8137	0.28272	0.59503	0.17423	1.3729	0.22353
E2T17	1.7	1.0896	0.18197	2.8789	0.2464	0.55903	0.16098	1.4157	0.20935
E2T18	1.8	1.0575	0.16565	2.9202	0.22562	0.53727	0.15454	1.4422	0.20237
E2T19	1.9	1.0375	0.15713	2.947	0.21416	0.52381	0.15151	1.4592	0.19904
E2T20	2	1.0248	0.15283	2.9646	0.208	0.51532	0.15013	1.4703	0.19751
E2T21	2.1	1.0166	0.15071	2.9765	0.20477	0.50989	0.14953	1.4776	0.19686
E2T22	2.2	1.0112	0.14969	2.9845	0.2031	0.50637	0.14928	1.4825	0.19662
