!!SBtab	SBtabVersion='1.0' Document='SBTAB example small' TableName='E8' TableTitle='SBTAB example small E8' TableType = 'QuantityMatrix'						
!ID	!Time	>Y0	SD_Y0	>Y1	SD_Y1	>Y2	SD_Y2
E8T0	0	3.9749	0.1	0.02508	0.1	0.00627	0.1
E8T1	0.1	2.1516	0.1	1.8484	0.1	0.46211	0.1
E8T2	0.2	1.2655	0.1	2.7345	0.1	0.68361	0.1
E8T3	0.3	0.83045	0.1	3.1695	0.1	0.79239	0.1
E8T4	0.4	0.61148	0.1	3.3885	0.1	0.84713	0.1
E8T5	0.5	0.49641	0.1	3.5036	0.1	0.8759	0.1
E8T6	0.6	0.43193	0.1	3.5681	0.1	0.89202	0.1
E8T7	0.7	0.39267	0.1	3.6073	0.1	0.90183	0.1
E8T8	0.8	0.36657	0.1	3.6334	0.1	0.90836	0.1
E8T9	0.9	0.34782	0.1	3.6522	0.1	0.91304	0.1
E8T10	1	0.33361	0.1	3.6664	0.1	0.9166	0.1
E8T11	1.1	0.32249	0.1	3.6775	0.1	0.91938	0.1
E8T12	1.2	0.31373	0.1	3.6863	0.1	0.92157	0.1
E8T13	1.3	0.30692	0.1	3.6931	0.1	0.92327	0.1
E8T14	1.4	0.30179	0.1	3.6982	0.1	0.92455	0.1
E8T15	1.5	0.29825	0.1	3.7018	0.1	0.92544	0.1
E8T16	1.6	0.29614	0.1	3.7039	0.1	0.92597	0.1
E8T17	1.7	0.29544	0.1	3.7046	0.1	0.92614	0.1
E8T18	1.8	0.29617	0.1	3.7038	0.1	0.92596	0.1
E8T19	1.9	0.29829	0.1	3.7017	0.1	0.92543	0.1
E8T20	2	0.30183	0.1	3.6982	0.1	0.92454	0.1
E8T21	2.1	0.30686	0.1	3.6931	0.1	0.92329	0.1
E8T22	2.2	0.31348	0.1	3.6865	0.1	0.92163	0.1
E8T23	2.3	0.32181	0.1	3.6782	0.1	0.91955	0.1
E8T24	2.4	0.332	0.1	3.668	0.1	0.917	0.1
E8T25	2.5	0.34426	0.1	3.6557	0.1	0.91393	0.1
E8T26	2.6	0.35887	0.1	3.6411	0.1	0.91028	0.1
E8T27	2.7	0.37613	0.1	3.6239	0.1	0.90597	0.1
E8T28	2.8	0.39645	0.1	3.6036	0.1	0.90089	0.1
E8T29	2.9	0.42031	0.1	3.5797	0.1	0.89492	0.1
E8T30	3	0.44835	0.1	3.5516	0.1	0.88791	0.1
E8T31	3.1	0.48133	0.1	3.5187	0.1	0.87967	0.1
E8T32	3.2	0.52021	0.1	3.4798	0.1	0.86995	0.1
E8T33	3.3	0.56621	0.1	3.4338	0.1	0.85845	0.1
E8T34	3.4	0.62087	0.1	3.3791	0.1	0.84478	0.1
E8T35	3.5	0.68613	0.1	3.3139	0.1	0.82847	0.1
E8T36	3.6	0.76445	0.1	3.2355	0.1	0.80889	0.1
E8T37	3.7	0.85899	0.1	3.141	0.1	0.78525	0.1
E8T38	3.8	0.97366	0.1	3.0263	0.1	0.75658	0.1
E8T39	3.9	1.1133	0.1	2.8867	0.1	0.72168	0.1
E8T40	4	1.2837	0.1	2.7163	0.1	0.67907	0.1
E8T41	4.1	1.4913	0.1	2.5087	0.1	0.62717	0.1
E8T42	4.2	1.7429	0.1	2.2571	0.1	0.56427	0.1
E8T43	4.3	2.0409	0.1	1.9591	0.1	0.48978	0.1
E8T44	4.4	2.3832	0.1	1.6168	0.1	0.40419	0.1
E8T45	4.5	2.7546	0.1	1.2454	0.1	0.31134	0.1
E8T46	4.6	3.1216	0.1	0.8784	0.1	0.2196	0.1
E8T47	4.7	3.4322	0.1	0.56778	0.1	0.14194	0.1
E8T48	4.8	3.6273	0.1	0.37274	0.1	0.093184	0.1
E8T49	4.9	3.6632	0.1	0.3368	0.1	0.0842	0.1
E8T50	5	3.5322	0.1	0.46784	0.1	0.11696	0.1
E8T51	5.1	3.2651	0.1	0.73494	0.1	0.18373	0.1
E8T52	5.2	2.9159	0.1	1.0841	0.1	0.27102	0.1
E8T53	5.3	2.5395	0.1	1.4605	0.1	0.36513	0.1
E8T54	5.4	2.1769	0.1	1.8231	0.1	0.45578	0.1
E8T55	5.5	1.852	0.1	2.148	0.1	0.53701	0.1
E8T56	5.6	1.574	0.1	2.426	0.1	0.6065	0.1
E8T57	5.7	1.3429	0.1	2.6571	0.1	0.66427	0.1
E8T58	5.8	1.1538	0.1	2.8462	0.1	0.71154	0.1
E8T59	5.9	1.0002	0.1	2.9998	0.1	0.74995	0.1
E8T60	6	0.87551	0.1	3.1245	0.1	0.78112	0.1
E8T61	6.1	0.774	0.1	3.226	0.1	0.8065	0.1
E8T62	6.2	0.69097	0.1	3.309	0.1	0.82726	0.1
E8T63	6.3	0.62266	0.1	3.3773	0.1	0.84434	0.1
E8T64	6.4	0.56606	0.1	3.4339	0.1	0.85849	0.1
E8T65	6.5	0.5189	0.1	3.4811	0.1	0.87027	0.1
E8T66	6.6	0.47936	0.1	3.5206	0.1	0.88016	0.1
E8T67	6.7	0.44603	0.1	3.554	0.1	0.88849	0.1
E8T68	6.8	0.41786	0.1	3.5821	0.1	0.89554	0.1
E8T69	6.9	0.39402	0.1	3.606	0.1	0.9015	0.1
E8T70	7	0.3738	0.1	3.6262	0.1	0.90655	0.1
E8T71	7.1	0.35666	0.1	3.6433	0.1	0.91084	0.1
E8T72	7.2	0.34223	0.1	3.6578	0.1	0.91444	0.1
E8T73	7.3	0.3302	0.1	3.6698	0.1	0.91745	0.1
E8T74	7.4	0.32027	0.1	3.6797	0.1	0.91993	0.1
E8T75	7.5	0.31222	0.1	3.6878	0.1	0.92195	0.1
E8T76	7.6	0.30587	0.1	3.6941	0.1	0.92353	0.1
E8T77	7.7	0.30111	0.1	3.6989	0.1	0.92472	0.1
E8T78	7.8	0.29783	0.1	3.7022	0.1	0.92554	0.1
E8T79	7.9	0.29599	0.1	3.704	0.1	0.926	0.1
E8T80	8	0.29554	0.1	3.7045	0.1	0.92611	0.1
E8T81	8.1	0.29648	0.1	3.7035	0.1	0.92588	0.1
E8T82	8.2	0.29882	0.1	3.7012	0.1	0.92529	0.1
E8T83	8.3	0.30261	0.1	3.6974	0.1	0.92435	0.1
E8T84	8.4	0.3079	0.1	3.6921	0.1	0.92302	0.1
E8T85	8.5	0.3148	0.1	3.6852	0.1	0.9213	0.1
E8T86	8.6	0.32342	0.1	3.6766	0.1	0.91914	0.1
E8T87	8.7	0.33394	0.1	3.6661	0.1	0.91651	0.1
E8T88	8.8	0.34658	0.1	3.6534	0.1	0.91335	0.1
E8T89	8.9	0.36161	0.1	3.6384	0.1	0.9096	0.1
E8T90	9	0.37935	0.1	3.6206	0.1	0.90516	0.1
E8T91	9.1	0.40022	0.1	3.5998	0.1	0.89994	0.1
E8T92	9.2	0.42475	0.1	3.5753	0.1	0.89381	0.1
E8T93	9.3	0.45356	0.1	3.5464	0.1	0.88661	0.1
E8T94	9.4	0.48744	0.1	3.5126	0.1	0.87814	0.1
E8T95	9.5	0.52742	0.1	3.4726	0.1	0.86815	0.1
E8T96	9.6	0.57475	0.1	3.4253	0.1	0.85631	0.1
E8T97	9.7	0.63102	0.1	3.369	0.1	0.84224	0.1
E8T98	9.8	0.69825	0.1	3.3017	0.1	0.82544	0.1
E8T99	9.9	0.77902	0.1	3.221	0.1	0.80524	0.1
E8T100	10	0.87674	0.1	3.1233	0.1	0.78081	0.1
