!!SBtab	SBtabVersion='1.0' Document='SBTAB example small' TableName='E4' TableTitle='SBTAB example small E4' TableType = 'QuantityMatrix'						
!ID	!Time	>Y0	SD_Y0	>Y1	SD_Y1	>Y2	SD_Y2
E4T0	0	4	0.01	0	0.01	0	0.01
E4T1	0.1	4	0.01	0	0.01	0	0.01
E4T2	0.2	4	0.01	0	0.01	0	0.01
E4T3	0.3	4	0.01	0	0.01	0	0.01
E4T4	0.4	4	0.01	0	0.01	0	0.01
E4T5	0.5	4	0.01	0	0.01	0	0.01
E4T6	0.6	4	0.01	0	0.01	0	0.01
E4T7	0.7	4	0.01	0	0.01	0	0.01
E4T8	0.8	4	0.01	0	0.01	0	0.01
E4T9	0.9	4	0.01	0	0.01	0	0.01
E4T10	1	4	0.01	0	0.01	0	0.01
E4T11	1.1	2.7061	0.22935	1.2962	0.28751	0.32278	0.091114
E4T12	1.2	2.2754	0.15474	1.7113	0.21084	0.42234	0.079834
E4T13	1.3	2.1141	0.097007	1.8705	0.16279	0.46133	0.074286
E4T14	1.4	2.0495	0.06876	1.9367	0.14392	0.47809	0.07279
E4T15	1.5	2.0225	0.058124	1.9657	0.13799	0.48575	0.072594
E4T16	1.6	2.0108	0.054815	1.979	0.13637	0.4894	0.072689
E4T17	1.7	2.0056	0.053884	1.9853	0.13599	0.4912	0.072803
E4T18	1.8	2.0032	0.053637	1.9883	0.13594	0.49211	0.072884
E4T19	1.9	2.002	0.053576	1.9899	0.13596	0.49259	0.072935
E4T20	2	2.0015	0.053564	1.9906	0.13598	0.49284	0.072965
E4T21	2.1	2.0012	0.053563	1.991	0.136	0.49297	0.072982
E4T22	2.2	2.0011	0.053564	1.9912	0.13601	0.49304	0.072992
E4T23	2.3	2.001	0.053565	1.9913	0.13602	0.49309	0.072998
E4T24	2.4	2.001	0.053566	1.9914	0.13602	0.49311	0.073001
E4T25	2.5	2.001	0.053566	1.9914	0.13602	0.49312	0.073003
E4T26	2.6	2.001	0.053566	1.9914	0.13602	0.49313	0.073004
E4T27	2.7	2.001	0.053567	1.9914	0.13603	0.49313	0.073004
E4T28	2.8	2.001	0.053567	1.9914	0.13603	0.49314	0.073005
E4T29	2.9	2.001	0.053567	1.9914	0.13603	0.49314	0.073005
E4T30	3	2.001	0.053567	1.9915	0.13603	0.49314	0.073005
E4T31	3.1	2.001	0.053567	1.9915	0.13603	0.49314	0.073005
E4T32	3.2	2.001	0.053567	1.9915	0.13603	0.49314	0.073005
E4T33	3.3	2.001	0.053567	1.9915	0.13603	0.49314	0.073005
E4T34	3.4	2.001	0.053567	1.9915	0.13603	0.49314	0.073005
E4T35	3.5	2.001	0.053567	1.9915	0.13603	0.49314	0.073005
E4T36	3.6	2.001	0.053567	1.9915	0.13603	0.49314	0.073005
E4T37	3.7	2.001	0.053567	1.9915	0.13603	0.49314	0.073005
E4T38	3.8	2.001	0.053567	1.9915	0.13603	0.49314	0.073005
E4T39	3.9	2.001	0.053567	1.9915	0.13603	0.49314	0.073005
E4T40	4	2.001	0.053567	1.9915	0.13603	0.49314	0.073005
E4T41	4.1	2.001	0.053567	1.9915	0.13603	0.49314	0.073005
E4T42	4.2	2.001	0.053567	1.9915	0.13603	0.49314	0.073005
E4T43	4.3	2.001	0.053567	1.9915	0.13603	0.49314	0.073005
E4T44	4.4	2.001	0.053567	1.9915	0.13603	0.49314	0.073005
E4T45	4.5	2.001	0.053567	1.9915	0.13603	0.49314	0.073005
E4T46	4.6	2.001	0.053567	1.9915	0.13603	0.49314	0.073005
E4T47	4.7	2.001	0.053567	1.9915	0.13603	0.49314	0.073005
E4T48	4.8	2.001	0.053567	1.9915	0.13603	0.49314	0.073005
E4T49	4.9	2.001	0.053567	1.9915	0.13603	0.49314	0.073005
E4T50	5	2.001	0.053567	1.9915	0.13603	0.49314	0.073005
E4T51	5.1	2.001	0.053567	1.9915	0.13603	0.49314	0.073005
E4T52	5.2	2.001	0.053567	1.9915	0.13603	0.49314	0.073005
E4T53	5.3	2.001	0.053567	1.9915	0.13603	0.49314	0.073005
E4T54	5.4	2.001	0.053567	1.9915	0.13603	0.49314	0.073005
E4T55	5.5	2.001	0.053567	1.9915	0.13603	0.49314	0.073005
E4T56	5.6	2.001	0.053567	1.9915	0.13603	0.49314	0.073005
E4T57	5.7	2.001	0.053567	1.9915	0.13603	0.49314	0.073005
E4T58	5.8	2.001	0.053567	1.9915	0.13603	0.49314	0.073005
E4T59	5.9	2.001	0.053567	1.9915	0.13603	0.49314	0.073005
E4T60	6	2.001	0.053567	1.9915	0.13603	0.49314	0.073005
E4T61	6.1	2.7981	0.1018	1.1912	0.1484	0.29274	0.058113
E4T62	6.2	3.2727	0.11454	0.7202	0.1499	0.17676	0.050029
E4T63	6.3	3.5573	0.10083	0.43952	0.12756	0.10819	0.040041
E4T64	6.4	3.7291	0.080121	0.27047	0.099925	0.066977	0.03051
E4T65	6.5	3.8333	0.06033	0.1677	0.074868	0.041877	0.022582
E4T66	6.6	3.897	0.044	0.10469	0.054647	0.026414	0.016426
E4T67	6.7	3.936	0.031445	0.065763	0.039245	0.016793	0.011823
E4T68	6.8	3.9601	0.022171	0.041554	0.027893	0.010752	0.01
E4T69	6.9	3.975	0.015489	0.026399	0.019692	0.0069302	0.01
E4T70	7	3.9843	0.010752	0.016857	0.013843	0.0044937	0.01
E4T71	7.1	3.9901	0.01	0.010815	0.01	0.0029303	0.01
E4T72	7.2	3.9937	0.01	0.0069697	0.01	0.0019209	0.01
E4T73	7.3	3.996	0.01	0.0045108	0.01	0.0012654	0.01
E4T74	7.4	3.9975	0.01	0.0029312	0.01	0.00083744	0.01
E4T75	7.5	3.9984	0.01	0.0019121	0.01	0.00055665	0.01
E4T76	7.6	3.999	0.01	0.0012518	0.01	0.00037155	0.01
E4T77	7.7	3.9993	0.01	0.0008224	0.01	0.00024898	0.01
E4T78	7.8	3.9996	0.01	0.0005421	0.01	0.00016747	0.01
E4T79	7.9	3.9997	0.01	0.00035847	0.01	0.00011305	0.01
E4T80	8	3.9998	0.01	0.00023777	0.01	7.658e-05	0.01
E4T81	8.1	3.9999	0.01	0.00015818	0.01	5.2044e-05	0.01
E4T82	8.2	3.9999	0.01	0.00010553	0.01	3.5482e-05	0.01
E4T83	8.3	3.9999	0.01	7.0592e-05	0.01	2.4264e-05	0.01
E4T84	8.4	4	0.01	4.7347e-05	0.01	1.6641e-05	0.01
E4T85	8.5	4	0.01	3.1837e-05	0.01	1.1445e-05	0.01
E4T86	8.6	4	0.01	2.1461e-05	0.01	7.8932e-06	0.01
E4T87	8.7	4	0.01	1.45e-05	0.01	5.4579e-06	0.01
E4T88	8.8	4	0.01	9.82e-06	0.01	3.7836e-06	0.01
E4T89	8.9	4	0.01	6.6652e-06	0.01	2.6294e-06	0.01
E4T90	9	4	0.01	4.5337e-06	0.01	1.8317e-06	0.01
E4T91	9.1	4	0.01	3.0903e-06	0.01	1.2789e-06	0.01
E4T92	9.2	4	0.01	2.1108e-06	0.01	8.9502e-07	0.01
E4T93	9.3	4	0.01	1.4446e-06	0.01	6.2771e-07	0.01
E4T94	9.4	4	0.01	9.9053e-07	0.01	4.4118e-07	0.01
E4T95	9.5	4	0.01	6.8048e-07	0.01	3.1072e-07	0.01
E4T96	9.6	4	0.01	4.6833e-07	0.01	2.1928e-07	0.01
E4T97	9.7	4	0.01	3.229e-07	0.01	1.5506e-07	0.01
E4T98	9.8	4	0.01	2.2301e-07	0.01	1.0985e-07	0.01
E4T99	9.9	4	0.01	1.5429e-07	0.01	7.7973e-08	0.01
E4T100	10	4	0.01	1.0692e-07	0.01	5.5446e-08	0.01
