!!SBtab	Document='MGluR' TableName='Compound' TableType='Compound' TableTitle='MGLuR Compounds'								
!ID	!Name	!Unit	!InitialValue	!IsConstant	!Assignement	!Interpolation	!Type	!Location	!ReferenceDOI
S0	EGFR	nanomolarity	0	false	false	false	kinetic	Cell	10.1126/scisignal.2000810
S1	pEGFR	nanomolarity	0	false	false	false	kinetic	Cell	10.1126/scisignal.2000810
S2	pEGFR_Akt	nanomolarity	0	false	false	false	kinetic	Cell	10.1126/scisignal.2000810
S3	Akt	nanomolarity	0	false	false	false	kinetic	Cell	10.1126/scisignal.2000810
S4	pAkt	nanomolarity	0	false	false	false	kinetic	Cell	10.1126/scisignal.2000810
S5	S6	nanomolarity	0	false	false	false	kinetic	Cell	10.1126/scisignal.2000810
S6	pAkt_S6	nanomolarity	0	false	false	false	kinetic	Cell	10.1126/scisignal.2000810
S7	pS6	nanomolarity	0	false	false	false	kinetic	Cell	10.1126/scisignal.2000810
S8	EGF_EGFR	nanomolarity	0	false	false	false	kinetic	Cell	10.1126/scisignal.2000810
S9	EGF	nanomolarity	0	True	True	false	kinetic	Cell	10.1126/scisignal.2000810
S10	pro_EGFR	nanomolarity	0	True	True	false	kinetic	Cell	10.1126/scisignal.2000811
