!!SBtab	SBtabVersion='1.0' Document='D1_LTP_time_window_SBtab' TableName='E1I' TableTitle='D1_LTP_time_window_SBtab E1I' TableType = 'QuantityMatrix'			
!ID	!Input_Time_S24	>S24	!Input_Time_S48	>S48
E1IT0	0	60	0	20
E1IT1	0.01	60	0.01	20
E1IT2	0.02	60	0.02	20
E1IT3	0.03	60	0.03	20
E1IT4	0.04	60	0.04	20
E1IT5	0.05	60	0.05	20
E1IT6	0.06	60	0.06	20
E1IT7	0.07	60	0.07	20
E1IT8	0.08	60	0.08	20
E1IT9	0.09	60	0.09	20
E1IT10	0.1	60	0.1	20
E1IT11	0.11	60	0.11	20
E1IT12	0.12	60	0.12	20
E1IT13	0.13	60	0.13	20
E1IT14	0.14	60	0.14	20
E1IT15	0.15	60	0.15	20
E1IT16	0.16	60	0.16	20
E1IT17	0.17	60	0.17	20
E1IT18	0.18	60	0.18	20
E1IT19	0.19	60	0.19	20
E1IT20	0.2	60	0.2	20
E1IT21	0.21	60	0.21	20
E1IT22	0.22	60	0.22	20
E1IT23	0.23	60	0.23	20
E1IT24	0.24	60	0.24	20
E1IT25	0.25	60	0.25	20
E1IT26	0.26	60	0.26	20
E1IT27	0.27	60	0.27	20
E1IT28	0.28	60	0.28	20
E1IT29	0.29	60	0.29	20
E1IT30	0.3	60	0.3	20
E1IT31	0.31	60	0.31	20
E1IT32	0.32	60	0.32	20
E1IT33	0.33	60	0.33	20
E1IT34	0.34	60	0.34	20
E1IT35	0.35	60	0.35	20
E1IT36	0.36	60	0.36	20
E1IT37	0.37	60	0.37	20
E1IT38	0.38	60	0.38	20
E1IT39	0.39	60	0.39	20
E1IT40	0.4	60	0.4	20
E1IT41	0.41	60	0.41	20
E1IT42	0.42	60	0.42	20
E1IT43	0.43	60	0.43	20
E1IT44	0.44	60	0.44	20
E1IT45	0.45	60	0.45	20
E1IT46	0.46	60	0.46	20
E1IT47	0.47	60	0.47	20
E1IT48	0.48	60	0.48	20
E1IT49	0.49	60	0.49	20
E1IT50	0.5	60	0.5	20
E1IT51	0.51	60	0.51	20
E1IT52	0.52	60	0.52	20
E1IT53	0.53	60	0.53	20
E1IT54	0.54	60	0.54	20
E1IT55	0.55	60	0.55	20
E1IT56	0.56	60	0.56	20
E1IT57	0.57	60	0.57	20
E1IT58	0.58	60	0.58	20
E1IT59	0.59	60	0.59	20
E1IT60	0.6	60	0.6	20
E1IT61	0.61	60	0.61	20
E1IT62	0.62	60	0.62	20
E1IT63	0.63	60	0.63	20
E1IT64	0.64	60	0.64	20
E1IT65	0.65	60	0.65	20
E1IT66	0.66	60	0.66	20
E1IT67	0.67	60	0.67	20
E1IT68	0.68	60	0.68	20
E1IT69	0.69	60	0.69	20
E1IT70	0.7	60	0.7	20
E1IT71	0.71	60	0.71	20
E1IT72	0.72	60	0.72	20
E1IT73	0.73	60	0.73	20
E1IT74	0.74	60	0.74	20
E1IT75	0.75	60	0.75	20
E1IT76	0.76	60	0.76	20
E1IT77	0.77	60	0.77	20
E1IT78	0.78	60	0.78	20
E1IT79	0.79	60	0.79	20
E1IT80	0.8	60	0.8	20
E1IT81	0.81	60	0.81	20
E1IT82	0.82	60	0.82	20
E1IT83	0.83	60	0.83	20
E1IT84	0.84	60	0.84	20
E1IT85	0.85	60	0.85	20
E1IT86	0.86	60	0.86	20
E1IT87	0.87	60	0.87	20
E1IT88	0.88	60	0.88	20
E1IT89	0.89	60	0.89	20
E1IT90	0.9	60	0.9	20
E1IT91	0.91	60	0.91	20
E1IT92	0.92	60	0.92	20
E1IT93	0.93	60	0.93	20
E1IT94	0.94	60	0.94	20
E1IT95	0.95	60	0.95	20
E1IT96	0.96	60	0.96	20
E1IT97	0.97	60	0.97	20
E1IT98	0.98	60	0.98	20
E1IT99	0.99	60	0.99	20
E1IT100	1	60	1	20
E1IT101	1.01	60	1.01	489.9088
E1IT102	1.02	60	1.02	827.2034
E1IT103	1.03	60	1.03	1066.5044
E1IT104	1.04	60	1.04	1233.4534
E1IT105	1.05	60	1.05	1347.0405
E1IT106	1.06	60	1.06	1421.3287
E1IT107	1.07	60	1.07	1466.7306
E1IT108	1.08	60	1.08	1490.9548
E1IT109	1.09	60	1.09	1499.7069
E1IT110	1.1	60	1.1	1497.2088
E1IT111	1.11	60	1.11	1486.5831
E1IT112	1.12	60	1.12	1470.1384
E1IT113	1.13	60	1.13	1449.5805
E1IT114	1.14	60	1.14	1426.1681
E1IT115	1.15	60	1.15	1400.8297
E1IT116	1.16	60	1.16	1374.2485
E1IT117	1.17	60	1.17	1346.9265
E1IT118	1.18	60	1.18	1319.2315
E1IT119	1.19	60	1.19	1291.4317
E1IT120	1.2	60	1.2	1263.7221
E1IT121	1.21	60	1.21	1236.2432
E1IT122	1.22	60	1.22	1209.0952
E1IT123	1.23	60	1.23	1182.3488
E1IT124	1.24	60	1.24	1156.0527
E1IT125	1.25	60	1.25	1130.2395
E1IT126	1.26	60	1.26	1104.9299
E1IT127	1.27	60	1.27	1080.1358
E1IT128	1.28	60	1.28	1055.8628
E1IT129	1.29	60	1.29	1032.1119
E1IT130	1.3	60	1.3	1008.8805
E1IT131	1.31	60	1.31	986.164
E1IT132	1.32	60	1.32	963.9556
E1IT133	1.33	60	1.33	942.2475
E1IT134	1.34	60	1.34	921.0311
E1IT135	1.35	60	1.35	900.2972
E1IT136	1.36	60	1.36	880.0363
E1IT137	1.37	60	1.37	860.2387
E1IT138	1.38	60	1.38	840.8946
E1IT139	1.39	60	1.39	821.9941
E1IT140	1.4	60	1.4	803.5276
E1IT141	1.41	60	1.41	785.4853
E1IT142	1.42	60	1.42	767.8578
E1IT143	1.43	60	1.43	750.6358
E1IT144	1.44	60	1.44	733.8099
E1IT145	1.45	60	1.45	717.3713
E1IT146	1.46	60	1.46	701.311
E1IT147	1.47	60	1.47	685.6204
E1IT148	1.48	60	1.48	670.2911
E1IT149	1.49	60	1.49	655.3148
E1IT150	1.5	60	1.5	640.6832
E1IT151	1.51	60	1.51	626.3886
E1IT152	1.52	60	1.52	612.4232
E1IT153	1.53	60	1.53	598.7794
E1IT154	1.54	60	1.54	585.4498
E1IT155	1.55	60	1.55	572.4272
E1IT156	1.56	60	1.56	559.7044
E1IT157	1.57	60	1.57	547.2747
E1IT158	1.58	60	1.58	535.1313
E1IT159	1.59	60	1.59	523.2675
E1IT160	1.6	60	1.6	511.6769
E1IT161	1.61	60	1.61	500.3533
E1IT162	1.62	60	1.62	489.2904
E1IT163	1.63	60	1.63	478.4824
E1IT164	1.64	60	1.64	467.9232
