!!SBtab	SBtabVersion='1.0' Document='D1_LTP_time_window_SBtab' TableName='E9I' TableTitle='D1_LTP_time_window_SBtab E9I' TableType = 'QuantityMatrix'	
!ID	!Input_Time_S24	>S24
E9IT0	0	60
E9IT1	0.01	60
E9IT2	0.02	60
E9IT3	0.03	60
E9IT4	0.04	60
E9IT5	0.05	60
E9IT6	0.06	60
E9IT7	0.07	60
E9IT8	0.08	60
E9IT9	0.09	60
E9IT10	0.1	60
E9IT11	0.11	60
E9IT12	0.12	60
E9IT13	0.13	60
E9IT14	0.14	60
E9IT15	0.15	60
E9IT16	0.16	60
E9IT17	0.17	60
E9IT18	0.18	60
E9IT19	0.19	60
E9IT20	0.2	60
E9IT21	0.21	60
E9IT22	0.22	60
E9IT23	0.23	60
E9IT24	0.24	60
E9IT25	0.25	60
E9IT26	0.26	60
E9IT27	0.27	60
E9IT28	0.28	60
E9IT29	0.29	60
E9IT30	0.3	60
E9IT31	0.31	60
E9IT32	0.32	60
E9IT33	0.33	60
E9IT34	0.34	60
E9IT35	0.35	60
E9IT36	0.36	60
E9IT37	0.37	60
E9IT38	0.38	60
E9IT39	0.39	60
E9IT40	0.4	60
E9IT41	0.41	60
E9IT42	0.42	60
E9IT43	0.43	60
E9IT44	0.44	60
E9IT45	0.45	60
E9IT46	0.46	60
E9IT47	0.47	60
E9IT48	0.48	60
E9IT49	0.49	60
E9IT50	0.5	60
E9IT51	0.51	60
E9IT52	0.52	60
E9IT53	0.53	60
E9IT54	0.54	60
E9IT55	0.55	60
E9IT56	0.56	60
E9IT57	0.57	60
E9IT58	0.58	60
E9IT59	0.59	60
E9IT60	0.6	60
E9IT61	0.61	60
E9IT62	0.62	60
E9IT63	0.63	60
E9IT64	0.64	60
E9IT65	0.65	60
E9IT66	0.66	60
E9IT67	0.67	60
E9IT68	0.68	60
E9IT69	0.69	60
E9IT70	0.7	60
E9IT71	0.71	60
E9IT72	0.72	60
E9IT73	0.73	60
E9IT74	0.74	60
E9IT75	0.75	60
E9IT76	0.76	60
E9IT77	0.77	60
E9IT78	0.78	60
E9IT79	0.79	60
E9IT80	0.8	60
E9IT81	0.81	60
E9IT82	0.82	60
E9IT83	0.83	60
E9IT84	0.84	60
E9IT85	0.85	60
E9IT86	0.86	60
E9IT87	0.87	60
E9IT88	0.88	60
E9IT89	0.89	60
E9IT90	0.9	60
E9IT91	0.91	60
E9IT92	0.92	60
E9IT93	0.93	60
E9IT94	0.94	60
E9IT95	0.95	60
E9IT96	0.96	60
E9IT97	0.97	60
E9IT98	0.98	60
E9IT99	0.99	60
E9IT100	1	60
E9IT101	1.01	60
E9IT102	1.02	60
E9IT103	1.03	60
E9IT104	1.04	60
E9IT105	1.05	60
E9IT106	1.06	60
E9IT107	1.07	60
E9IT108	1.08	60
E9IT109	1.09	60
E9IT110	1.1	60
E9IT111	1.11	60
E9IT112	1.12	60
E9IT113	1.13	60
E9IT114	1.14	60
E9IT115	1.15	60
E9IT116	1.16	60
E9IT117	1.17	60
E9IT118	1.18	60
E9IT119	1.19	60
E9IT120	1.2	60
E9IT121	1.21	60
E9IT122	1.22	60
E9IT123	1.23	60
E9IT124	1.24	60
E9IT125	1.25	60
E9IT126	1.26	60
E9IT127	1.27	60
E9IT128	1.28	60
E9IT129	1.29	60
E9IT130	1.3	60
E9IT131	1.31	60
E9IT132	1.32	60
E9IT133	1.33	60
E9IT134	1.34	60
E9IT135	1.35	60
E9IT136	1.36	60
E9IT137	1.37	60
E9IT138	1.38	60
E9IT139	1.39	60
E9IT140	1.4	60
E9IT141	1.41	60
E9IT142	1.42	60
E9IT143	1.43	60
E9IT144	1.44	60
E9IT145	1.45	60
E9IT146	1.46	60
E9IT147	1.47	60
E9IT148	1.48	60
E9IT149	1.49	60
E9IT150	1.5	60
E9IT151	1.51	60
E9IT152	1.52	60
E9IT153	1.53	60
E9IT154	1.54	60
E9IT155	1.55	60
E9IT156	1.56	60
E9IT157	1.57	60
E9IT158	1.58	60
E9IT159	1.59	60
E9IT160	1.6	60
E9IT161	1.61	60
E9IT162	1.62	60
E9IT163	1.63	60
E9IT164	1.64	60
E9IT165	1.65	60
E9IT166	1.66	60
E9IT167	1.67	60
E9IT168	1.68	60
E9IT169	1.69	60
E9IT170	1.7	60
E9IT171	1.71	60
E9IT172	1.72	60
E9IT173	1.73	60
E9IT174	1.74	60
E9IT175	1.75	60
E9IT176	1.76	60
E9IT177	1.77	60
E9IT178	1.78	60
E9IT179	1.79	60
E9IT180	1.8	60
E9IT181	1.81	60
E9IT182	1.82	60
E9IT183	1.83	60
E9IT184	1.84	60
E9IT185	1.85	60
E9IT186	1.86	60
E9IT187	1.87	60
E9IT188	1.88	60
E9IT189	1.89	60
E9IT190	1.9	60
E9IT191	1.91	60
E9IT192	1.92	60
E9IT193	1.93	60
E9IT194	1.94	60
E9IT195	1.95	60
E9IT196	1.96	60
E9IT197	1.97	60
E9IT198	1.98	60
E9IT199	1.99	60
E9IT200	2	60
E9IT201	2.01	60
E9IT202	2.02	60
E9IT203	2.03	60
E9IT204	2.04	60
E9IT205	2.05	60
E9IT206	2.06	60
E9IT207	2.07	60
E9IT208	2.08	60
E9IT209	2.09	60
E9IT210	2.1	60
E9IT211	2.11	60
E9IT212	2.12	60
E9IT213	2.13	60
E9IT214	2.14	60
E9IT215	2.15	60
E9IT216	2.16	60
E9IT217	2.17	60
E9IT218	2.18	60
E9IT219	2.19	60
E9IT220	2.2	60
E9IT221	2.21	60
E9IT222	2.22	60
E9IT223	2.23	60
E9IT224	2.24	60
E9IT225	2.25	60
E9IT226	2.26	60
E9IT227	2.27	60
