!!SBtab	SBtabVersion='1.0' Document='Example' TableName='E0' TableTitle='E0' TableType = 'QuantityMatrix'				
!ID	!Time	>Y0	SD_Y0	>Y1	SD_Y1
E0T0	0	1	0.1	0	0.1
E0T1	0.1	1	0.1	0	0.1
E0T2	0.2	1	0.1	0	0.1
E0T3	0.3	1	0.1	0	0.1
E0T4	0.4	1	0.1	0	0.1
E0T5	0.5	1	0.1	0	0.1
E0T6	0.6	1	0.1	0	0.1
E0T7	0.7	1	0.1	0	0.1
E0T8	0.8	1	0.1	0	0.1
E0T9	0.9	1	0.1	0	0.1
E0T10	1	1	0.1	0	0.1
E0T11	1.1	1	0.1	0	0.1
E0T12	1.2	1	0.1	0	0.1
E0T13	1.3	1	0.1	0	0.1
E0T14	1.4	1	0.1	0	0.1
E0T15	1.5	1	0.1	0	0.1
E0T16	1.6	1	0.1	0	0.1
E0T17	1.7	1	0.1	0	0.1
E0T18	1.8	1	0.1	0	0.1
E0T19	1.9	1	0.1	0	0.1
E0T20	2	1	0.1	0	0.1
E0T21	2.1	0.36788	0.1	0.63212	0.1
E0T22	2.2	0.13534	0.1	0.86466	0.1
E0T23	2.3	0.049787	0.1	0.95021	0.1
E0T24	2.4	0.018316	0.1	0.98168	0.1
E0T25	2.5	0.0067379	0.1	0.99326	0.1
E0T26	2.6	0.0024788	0.1	0.99752	0.1
E0T27	2.7	0.00091188	0.1	0.99909	0.1
E0T28	2.8	0.00033546	0.1	0.99966	0.1
E0T29	2.9	0.00012341	0.1	0.99988	0.1
E0T30	3	4.54e-05	0.1	0.99995	0.1
E0T31	3.1	1.6702e-05	0.1	0.99998	0.1
E0T32	3.2	6.1442e-06	0.1	0.99999	0.1
E0T33	3.3	2.2603e-06	0.1	1	0.1
E0T34	3.4	8.3153e-07	0.1	1	0.1
E0T35	3.5	3.059e-07	0.1	1	0.1
E0T36	3.6	1.1254e-07	0.1	1	0.1
E0T37	3.7	4.1399e-08	0.1	1	0.1
E0T38	3.8	1.523e-08	0.1	1	0.1
E0T39	3.9	5.6028e-09	0.1	1	0.1
E0T40	4	2.0612e-09	0.1	1	0.1
E0T41	4.1	7.5826e-10	0.1	1	0.1
E0T42	4.2	2.7895e-10	0.1	1	0.1
E0T43	4.3	1.0262e-10	0.1	1	0.1
E0T44	4.4	3.7751e-11	0.1	1	0.1
E0T45	4.5	1.3888e-11	0.1	1	0.1
E0T46	4.6	5.1091e-12	0.1	1	0.1
E0T47	4.7	1.8795e-12	0.1	1	0.1
E0T48	4.8	6.9145e-13	0.1	1	0.1
E0T49	4.9	2.5435e-13	0.1	1	0.1
E0T50	5	0	0.1	1	0.1
E0T51	5.1	0.39347	0.1	0.60653	0.1
E0T52	5.2	0.63212	0.1	0.36788	0.1
E0T53	5.3	0.77687	0.1	0.22313	0.1
E0T54	5.4	0.86466	0.1	0.13534	0.1
E0T55	5.5	0.91792	0.1	0.082085	0.1
E0T56	5.6	0.95021	0.1	0.049787	0.1
E0T57	5.7	0.9698	0.1	0.030197	0.1
E0T58	5.8	0.98168	0.1	0.018316	0.1
E0T59	5.9	0.98889	0.1	0.011109	0.1
E0T60	6	0.99326	0.1	0.0067379	0.1
E0T61	6.1	0.99591	0.1	0.0040868	0.1
E0T62	6.2	0.99752	0.1	0.0024788	0.1
E0T63	6.3	0.9985	0.1	0.0015034	0.1
E0T64	6.4	0.99909	0.1	0.00091188	0.1
E0T65	6.5	0.99945	0.1	0.00055308	0.1
E0T66	6.6	0.99966	0.1	0.00033546	0.1
E0T67	6.7	0.9998	0.1	0.00020347	0.1
E0T68	6.8	0.99988	0.1	0.00012341	0.1
E0T69	6.9	0.99993	0.1	7.4852e-05	0.1
E0T70	7	0.99995	0.1	4.54e-05	0.1
E0T71	7.1	0.99997	0.1	2.7536e-05	0.1
E0T72	7.2	0.99998	0.1	1.6702e-05	0.1
E0T73	7.3	0.99999	0.1	1.013e-05	0.1
E0T74	7.4	0.99999	0.1	6.1442e-06	0.1
E0T75	7.5	1	0.1	3.7267e-06	0.1
E0T76	7.6	1	0.1	2.2603e-06	0.1
E0T77	7.7	1	0.1	1.371e-06	0.1
E0T78	7.8	1	0.1	8.3153e-07	0.1
E0T79	7.9	1	0.1	5.0435e-07	0.1
E0T80	8	1	0.1	3.059e-07	0.1
E0T81	8.1	1	0.1	1.8554e-07	0.1
E0T82	8.2	1	0.1	1.1254e-07	0.1
E0T83	8.3	1	0.1	6.8256e-08	0.1
E0T84	8.4	1	0.1	4.1399e-08	0.1
E0T85	8.5	1	0.1	2.511e-08	0.1
E0T86	8.6	1	0.1	1.523e-08	0.1
E0T87	8.7	1	0.1	9.2374e-09	0.1
E0T88	8.8	1	0.1	5.6028e-09	0.1
E0T89	8.9	1	0.1	3.3983e-09	0.1
E0T90	9	1	0.1	2.0612e-09	0.1
E0T91	9.1	1	0.1	1.2502e-09	0.1
E0T92	9.2	1	0.1	7.5826e-10	0.1
E0T93	9.3	1	0.1	4.5991e-10	0.1
E0T94	9.4	1	0.1	2.7895e-10	0.1
E0T95	9.5	1	0.1	1.6919e-10	0.1
E0T96	9.6	1	0.1	1.0262e-10	0.1
E0T97	9.7	1	0.1	6.2242e-11	0.1
E0T98	9.8	1	0.1	3.7751e-11	0.1
E0T99	9.9	1	0.1	2.2897e-11	0.1
E0T100	10	1	0.1	1.3888e-11	0.1
