!!SBtab	SBtabVersion='1.0' Document='SBTAB example' TableName='E1' TableTitle='SBTAB example E1' TableType = 'QuantityMatrix'								
!ID	!Time	>Y0	SD_Y0	>Y1	SD_Y1	>Y2	SD_Y2	>Y3	SD_Y3
E1T0	0	0	0.1	0	0.1	0	0.1	0	0.1
E1T1	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E1T2	0.2	0	0.1	0	0.1	0	0.1	0	0.1
E1T3	0.3	0	0.1	0	0.1	0	0.1	0	0.1
E1T4	0.4	0	0.1	0	0.1	0	0.1	0	0.1
E1T5	0.5	0	0.1	0	0.1	0	0.1	0	0.1
E1T6	0.6	0	0.1	0	0.1	0	0.1	0	0.1
E1T7	0.7	0	0.1	0	0.1	0	0.1	0	0.1
E1T8	0.8	0	0.1	0	0.1	0	0.1	0	0.1
E1T9	0.9	0	0.1	0	0.1	0	0.1	0	0.1
E1T10	1	0	0.1	0	0.1	0	0.1	0	0.1
E1T11	1.1	0	0.1	0	0.1	0	0.1	0	0.1
E1T12	1.2	0	0.1	0	0.1	0	0.1	0	0.1
E1T13	1.3	0	0.1	0	0.1	0	0.1	0	0.1
E1T14	1.4	0	0.1	0	0.1	0	0.1	0	0.1
E1T15	1.5	0	0.1	0	0.1	0	0.1	0	0.1
E1T16	1.6	0	0.1	0	0.1	0	0.1	0	0.1
E1T17	1.7	0	0.1	0	0.1	0	0.1	0	0.1
E1T18	1.8	0	0.1	0	0.1	0	0.1	0	0.1
E1T19	1.9	0	0.1	0	0.1	0	0.1	0	0.1
E1T20	2	0	0.1	0	0.1	0	0.1	0	0.1
E1T21	2.1	0	0.1	1	0.1	0	0.1	0	0.1
E1T22	2.2	0	0.1	1	0.1	0	0.1	0	0.1
E1T23	2.3	0	0.1	1	0.1	0	0.1	0	0.1
E1T24	2.4	0	0.1	1	0.1	0	0.1	0	0.1
E1T25	2.5	0	0.1	1	0.1	0	0.1	0	0.1
E1T26	2.6	0	0.1	1	0.1	0	0.1	0	0.1
E1T27	2.7	0	0.1	1	0.1	0	0.1	0	0.1
E1T28	2.8	0	0.1	1	0.1	0	0.1	0	0.1
E1T29	2.9	0	0.1	1	0.1	0	0.1	0	0.1
E1T30	3	0	0.1	1	0.1	0	0.1	0	0.1
E1T31	3.1	0	0.1	1	0.1	0	0.1	0	0.1
E1T32	3.2	0	0.1	1	0.1	0	0.1	0	0.1
E1T33	3.3	0	0.1	1	0.1	0	0.1	0	0.1
E1T34	3.4	0	0.1	1	0.1	0	0.1	0	0.1
E1T35	3.5	0	0.1	1	0.1	0	0.1	0	0.1
E1T36	3.6	0	0.1	1	0.1	0	0.1	0	0.1
E1T37	3.7	0	0.1	1	0.1	0	0.1	0	0.1
E1T38	3.8	0	0.1	1	0.1	0	0.1	0	0.1
E1T39	3.9	0	0.1	1	0.1	0	0.1	0	0.1
E1T40	4	0	0.1	1	0.1	0	0.1	0	0.1
E1T41	4.1	0	0.1	1	0.1	0	0.1	0	0.1
E1T42	4.2	0	0.1	1	0.1	0	0.1	0	0.1
E1T43	4.3	0	0.1	1	0.1	0	0.1	0	0.1
E1T44	4.4	0	0.1	1	0.1	0	0.1	0	0.1
E1T45	4.5	0	0.1	1	0.1	0	0.1	0	0.1
E1T46	4.6	0	0.1	1	0.1	0	0.1	0	0.1
E1T47	4.7	0	0.1	1	0.1	0	0.1	0	0.1
E1T48	4.8	0	0.1	1	0.1	0	0.1	0	0.1
E1T49	4.9	0	0.1	1	0.1	0	0.1	0	0.1
E1T50	5	0	0.1	0	0.1	0	0.1	0	0.1
E1T51	5.1	0	0.1	0	0.1	0	0.1	0	0.1
E1T52	5.2	0	0.1	0	0.1	0	0.1	0	0.1
E1T53	5.3	0	0.1	0	0.1	0	0.1	0	0.1
E1T54	5.4	0	0.1	0	0.1	0	0.1	0	0.1
E1T55	5.5	0	0.1	0	0.1	0	0.1	0	0.1
E1T56	5.6	0	0.1	0	0.1	0	0.1	0	0.1
E1T57	5.7	0	0.1	0	0.1	0	0.1	0	0.1
E1T58	5.8	0	0.1	0	0.1	0	0.1	0	0.1
E1T59	5.9	0	0.1	0	0.1	0	0.1	0	0.1
E1T60	6	0	0.1	0	0.1	0	0.1	0	0.1
E1T61	6.1	0	0.1	0	0.1	0	0.1	0	0.1
E1T62	6.2	0	0.1	0	0.1	0	0.1	0	0.1
E1T63	6.3	0	0.1	0	0.1	0	0.1	0	0.1
E1T64	6.4	0	0.1	0	0.1	0	0.1	0	0.1
E1T65	6.5	0	0.1	0	0.1	0	0.1	0	0.1
E1T66	6.6	0	0.1	0	0.1	0	0.1	0	0.1
E1T67	6.7	0	0.1	0	0.1	0	0.1	0	0.1
E1T68	6.8	0	0.1	0	0.1	0	0.1	0	0.1
E1T69	6.9	0	0.1	0	0.1	0	0.1	0	0.1
E1T70	7	0	0.1	0	0.1	0	0.1	0	0.1
E1T71	7.1	0	0.1	0	0.1	0	0.1	0	0.1
E1T72	7.2	0	0.1	0	0.1	0	0.1	0	0.1
E1T73	7.3	0	0.1	0	0.1	0	0.1	0	0.1
E1T74	7.4	0	0.1	0	0.1	0	0.1	0	0.1
E1T75	7.5	0	0.1	0	0.1	0	0.1	0	0.1
E1T76	7.6	0	0.1	0	0.1	0	0.1	0	0.1
E1T77	7.7	0	0.1	0	0.1	0	0.1	0	0.1
E1T78	7.8	0	0.1	0	0.1	0	0.1	0	0.1
E1T79	7.9	0	0.1	0	0.1	0	0.1	0	0.1
E1T80	8	0	0.1	0	0.1	0	0.1	0	0.1
E1T81	8.1	0	0.1	0	0.1	0	0.1	0	0.1
E1T82	8.2	0	0.1	0	0.1	0	0.1	0	0.1
E1T83	8.3	0	0.1	0	0.1	0	0.1	0	0.1
E1T84	8.4	0	0.1	0	0.1	0	0.1	0	0.1
E1T85	8.5	0	0.1	0	0.1	0	0.1	0	0.1
E1T86	8.6	0	0.1	0	0.1	0	0.1	0	0.1
E1T87	8.7	0	0.1	0	0.1	0	0.1	0	0.1
E1T88	8.8	0	0.1	0	0.1	0	0.1	0	0.1
E1T89	8.9	0	0.1	0	0.1	0	0.1	0	0.1
E1T90	9	0	0.1	0	0.1	0	0.1	0	0.1
E1T91	9.1	0	0.1	0	0.1	0	0.1	0	0.1
E1T92	9.2	0	0.1	0	0.1	0	0.1	0	0.1
E1T93	9.3	0	0.1	0	0.1	0	0.1	0	0.1
E1T94	9.4	0	0.1	0	0.1	0	0.1	0	0.1
E1T95	9.5	0	0.1	0	0.1	0	0.1	0	0.1
E1T96	9.6	0	0.1	0	0.1	0	0.1	0	0.1
E1T97	9.7	0	0.1	0	0.1	0	0.1	0	0.1
E1T98	9.8	0	0.1	0	0.1	0	0.1	0	0.1
E1T99	9.9	0	0.1	0	0.1	0	0.1	0	0.1
E1T100	10	0	0.1	0	0.1	0	0.1	0	0.1
