!!SBtab	SBtabVersion='1.0' Document='SBTAB example small' TableName='E4I' TableTitle='SBTAB example small E4I' TableType = 'QuantityMatrix'	
!ID	!Input_Time_S4	>S4
E4IT0	0	0.5
E4IT1	0.1	0.54992
E4IT2	0.2	0.59933
E4IT3	0.3	0.64776
E4IT4	0.4	0.69471
E4IT5	0.5	0.73971
E4IT6	0.6	0.78232
E4IT7	0.7	0.82211
E4IT8	0.8	0.85868
E4IT9	0.9	0.89166
E4IT10	1	0.92074
E4IT11	1.1	0.9456
E4IT12	1.2	0.96602
E4IT13	1.3	0.98178
E4IT14	1.4	0.99272
E4IT15	1.5	0.99875
E4IT16	1.6	0.99979
E4IT17	1.7	0.99583
E4IT18	1.8	0.98692
E4IT19	1.9	0.97315
E4IT20	2	0.95465
E4IT21	2.1	0.9316
E4IT22	2.2	0.90425
E4IT23	2.3	0.87285
E4IT24	2.4	0.83773
E4IT25	2.5	0.79924
E4IT26	2.6	0.75775
E4IT27	2.7	0.71369
E4IT28	2.8	0.66749
E4IT29	2.9	0.61962
E4IT30	3	0.57056
E4IT31	3.1	0.52079
E4IT32	3.2	0.47081
E4IT33	3.3	0.42113
E4IT34	3.4	0.37223
E4IT35	3.5	0.32461
E4IT36	3.6	0.27874
E4IT37	3.7	0.23508
E4IT38	3.8	0.19407
E4IT39	3.9	0.15612
E4IT40	4	0.1216
E4IT41	4.1	0.090861
E4IT42	4.2	0.064212
E4IT43	4.3	0.041917
E4IT44	4.4	0.024199
E4IT45	4.5	0.011235
E4IT46	4.6	0.0031545
E4IT47	4.7	3.8371e-05
E4IT48	4.8	0.0019177
E4IT49	4.9	0.0087737
E4IT50	5	0.020538
E4IT51	5.1	0.037093
E4IT52	5.2	0.058273
E4IT53	5.3	0.083866
E4IT54	5.4	0.11362
E4IT55	5.5	0.14723
E4IT56	5.6	0.18437
E4IT57	5.7	0.22466
E4IT58	5.8	0.2677
E4IT59	5.9	0.31306
E4IT60	6	0.36029
E4IT61	6.1	0.40892
E4IT62	6.2	0.45846
E4IT63	6.3	0.50841
E4IT64	6.4	0.55827
E4IT65	6.5	0.60756
E4IT66	6.6	0.65577
E4IT67	6.7	0.70242
E4IT68	6.8	0.74706
E4IT69	6.9	0.78922
E4IT70	7	0.82849
E4IT71	7.1	0.86448
E4IT72	7.2	0.89683
E4IT73	7.3	0.92522
E4IT74	7.4	0.94935
E4IT75	7.5	0.969
E4IT76	7.6	0.98396
E4IT77	7.7	0.99408
E4IT78	7.8	0.99927
E4IT79	7.9	0.99947
E4IT80	8	0.99468
E4IT81	8.1	0.98494
E4IT82	8.2	0.97037
E4IT83	8.3	0.95109
E4IT84	8.4	0.9273
E4IT85	8.5	0.89924
E4IT86	8.6	0.8672
E4IT87	8.7	0.83148
E4IT88	8.8	0.79246
E4IT89	8.9	0.75051
E4IT90	9	0.70606
E4IT91	9.1	0.65955
E4IT92	9.2	0.61144
E4IT93	9.3	0.56223
E4IT94	9.4	0.51239
E4IT95	9.5	0.46242
E4IT96	9.6	0.41284
E4IT97	9.7	0.36412
E4IT98	9.8	0.31676
E4IT99	9.9	0.27123
E4IT100	10	0.22799
