!!SBtab	Document='Findsim' TableName='Reaction' TableType='Reaction' TableTitle='Findsim Reaction Fluxes' SBtabVersion='1.0'						
!ID	!Name	!ReactionRate	!KineticLaw	!IsReversible	!Location	!KineticLawType	!ReactionFormula
R0	ReactionFlux0	kf_R1 * Ca * PKC_cytosolic-kr_R1 * PKC_Ca	Cell*kf_R1 + Ca + PKC_cytosolic-Cell*kr_R1 + PKC_Ca	true	Cell	MassAction	Ca + PKC_cytosolic <=> PKC_Ca
R1	ReactionFlux1	kf_R2 * DAG * PKC_Ca-kr_R2 * PKC_Ca_DAG	Cell*kf_R2 + DAG + PKC_Ca-Cell*kr_R2 + PKC_Ca_DAG	true	Cell	MassAction	DAG + PKC_Ca <=> PKC_Ca_DAG
R2	ReactionFlux2	kf_R3 * PKC_Ca-kr_R3 * PKC_Ca_memb_p	Cell*kf_R3 + PKC_Ca-Cell*kr_R3 + PKC_Ca_memb_p	true	Cell	MassAction	PKC_Ca <=> PKC_Ca_memb_p
R3	ReactionFlux3	kf_R4 * PKC_Ca_DAG-kr_R4 * PKC_DAG_memb_p	Cell*kf_R4 + PKC_Ca_DAG-Cell*kr_R4 + PKC_DAG_memb_p	true	Cell	MassAction	PKC_Ca_DAG <=> PKC_DAG_memb_p
R4	ReactionFlux4	kf_R5 * Arachidonic_Acid * PKC_Ca-kr_R5 * PKC_Ca_AA_p	Cell*kf_R5 + Arachidonic_Acid + PKC_Ca-Cell*kr_R5 + PKC_Ca_AA_p	true	Cell	MassAction	Arachidonic_Acid + PKC_Ca <=> PKC_Ca_AA_p
R5	ReactionFlux5	kf_R6 * PKC_DAG_AA-kr_R6 * PKC_DAG_AA_p	Cell*kf_R6 + PKC_DAG_AA-Cell*kr_R6 + PKC_DAG_AA_p	true	Cell	MassAction	PKC_DAG_AA <=> PKC_DAG_AA_p
R6	ReactionFlux6	kf_R7 * PKC_cytosolic-kr_R7 * PKC_basal_p	Cell*kf_R7 + PKC_cytosolic-Cell*kr_R7 + PKC_basal_p	true	Cell	MassAction	PKC_cytosolic <=> PKC_basal_p
R7	ReactionFlux7	kf_R8 * PKC_cytosolic * Arachidonic_Acid-kr_R8 * PKC_AA_p	Cell*kf_R8 + PKC_cytosolic + Arachidonic_Acid-Cell*kr_R8 + PKC_AA_p	true	Cell	MassAction	PKC_cytosolic + Arachidonic_Acid <=> PKC_AA_p
R8	ReactionFlux8	kf_R9 * PKC_cytosolic * DAG-kr_R9 * PKC_DAG	Cell*kf_R9 + PKC_cytosolic + DAG-Cell*kr_R9 + PKC_DAG	true	Cell	MassAction	PKC_cytosolic + DAG <=> PKC_DAG
R9	ReactionFlux9	kf_R10 * Arachidonic_Acid * PKC_DAG-kr_R10 * PKC_DAG_AA	Cell*kf_R10 + Arachidonic_Acid + PKC_DAG-Cell*kr_R10 + PKC_DAG_AA	true	Cell	MassAction	Arachidonic_Acid + PKC_DAG <=> PKC_DAG_AA
R10	ReactionFlux10	kf_R11 * Ca * PLA2_cytosolic-kr_R11 * PLA2_Ca_p	Cell*kf_R11 + Ca + PLA2_cytosolic-Cell*kr_R11 + PLA2_Ca_p	true	Cell	MassAction	Ca + PLA2_cytosolic <=> PLA2_Ca_p
R11	ReactionFlux11	kf_R12 * PLA2_Ca_p * DAG-kr_R12 * DAG_Ca_PLA2_p	Cell*kf_R12 + PLA2_Ca_p + DAG-Cell*kr_R12 + DAG_Ca_PLA2_p	true	Cell	MassAction	PLA2_Ca_p + DAG <=> DAG_Ca_PLA2_p
R12	ReactionFlux12	kf_R13 * Arachidonic_Acid	Cell*kf_R13 + Arachidonic_Acid	false	Cell	MassAction	Arachidonic_Acid <=> APC
R13	ReactionFlux13	kf_R14 * Ca * PLA2_p-kr_R14 * PLA2_p_Ca	Cell*kf_R14 + Ca + PLA2_p-Cell*kr_R14 + PLA2_p_Ca	true	Cell	MassAction	Ca + PLA2_p <=> PLA2_p_Ca
R14	ReactionFlux14	kf_R15 * PLA2_p	Cell*kf_R15 + PLA2_p	false	Cell	MassAction	PLA2_p <=> PLA2_cytosolic
R15	ReactionFlux15	kf_R16 * PLC * Ca-kr_R16 * PLC_Ca	Cell*kf_R16 + PLC + Ca-Cell*kr_R16 + PLC_Ca	true	Cell	MassAction	PLC + Ca <=> PLC_Ca
R16	ReactionFlux16	kf_R17 * IP3	Cell*kf_R17 + IP3	false	Cell	MassAction	IP3 <=> Inositol
R17	ReactionFlux17	kf_R18 * DAG	Cell*kf_R18 + DAG	false	Cell	MassAction	DAG <=> PC
R18	ReactionFlux18	kf_R19 * PLC_Gq * Ca-kr_R19 * PLC_Ca_Gq	Cell*kf_R19 + PLC_Gq + Ca-Cell*kr_R19 + PLC_Ca_Gq	true	Cell	MassAction	PLC_Gq + Ca <=> PLC_Ca_Gq
R19	ReactionFlux19	kf_R20 * GTP_Ras * craf_1_p-kr_R20 * Raf_p_GTP_Ras	Cell*kf_R20 + GTP_Ras + craf_1_p-Cell*kr_R20 + Raf_p_GTP_Ras	true	Cell	MassAction	GTP_Ras + craf_1_p <=> Raf_p_GTP_Ras
R20	ReactionFlux20	kf_R21 * GEF_p	Cell*kf_R21 + GEF_p	false	Cell	MassAction	GEF_p <=> inact_GEF
R21	ReactionFlux21	kf_R22 * GTP_Ras	Cell*kf_R22 + GTP_Ras	false	Cell	MassAction	GTP_Ras <=> GDP_Ras
R22	ReactionFlux22	kf_R23 * GAP_p	Cell*kf_R23 + GAP_p	false	Cell	MassAction	GAP_p <=> GAP
R23	ReactionFlux23	kf_R24 * inact_GEF_p	Cell*kf_R24 + inact_GEF_p	false	Cell	MassAction	inact_GEF_p <=> inact_GEF
