!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E2'  TableTitle=''  Document='D1 LTP time window'												
!TimePoint	!Time	>Y0	SD_Y0	>Y1	SD_Y1	>Y2	SD_Y2	>Y3	SD_Y3	!Input_Time_S24	>S24	!Input_Time_S47	>S47
E2T0	0	84.4789	1	2672.0893	1	3200.526	1	36817.5165	1	0	60	0	20
E2T1	0.01	84.4789	1	2672.0893	1	3200.526	1	36817.5165	1	0.01	60	0.01	20
E2T2	0.02	84.4789	1	2672.0893	1	3200.526	1	36817.5165	1	0.02	60	0.02	20
E2T3	0.03	84.4789	1	2672.0893	1	3200.526	1	36817.5165	1	0.03	60	0.03	20
E2T4	0.04	84.4789	1	2672.0893	1	3200.526	1	36817.5165	1	0.04	60	0.04	20
E2T5	0.05	84.4789	1	2672.0893	1	3200.526	1	36817.5165	1	0.05	60	0.05	20
E2T6	0.06	84.4789	1	2672.0893	1	3200.526	1	36817.5165	1	0.06	60	0.06	20
E2T7	0.07	84.4789	1	2672.0893	1	3200.526	1	36817.5165	1	0.07	60	0.07	20
E2T8	0.08	84.4789	1	2672.0893	1	3200.526	1	36817.5165	1	0.08	60	0.08	20
E2T9	0.09	84.4789	1	2672.0893	1	3200.526	1	36817.5165	1	0.09	60	0.09	20
E2T10	0.1	84.4789	1	2672.0893	1	3200.526	1	36817.5165	1	0.1	60	0.1	20
E2T11	0.11	84.4789	1	2672.0893	1	3200.526	1	36817.5165	1	0.11	60	0.11	20
E2T12	0.12	84.4789	1	2672.0893	1	3200.526	1	36817.5165	1	0.12	60	0.12	20
E2T13	0.13	84.4789	1	2672.0893	1	3200.526	1	36817.5165	1	0.13	60	0.13	20
E2T14	0.14	84.4789	1	2672.0893	1	3200.526	1	36817.5165	1	0.14	60	0.14	20
E2T15	0.15	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1	0.15	60	0.15	20
E2T16	0.16	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1	0.16	60	0.16	20
E2T17	0.17	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1	0.17	60	0.17	20
E2T18	0.18	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1	0.18	60	0.18	20
E2T19	0.19	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1	0.19	60	0.19	20
E2T20	0.2	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1	0.2	60	0.2	20
E2T21	0.21	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1	0.21	60	0.21	20
E2T22	0.22	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1	0.22	60	0.22	20
E2T23	0.23	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1	0.23	60	0.23	20
E2T24	0.24	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1	0.24	60	0.24	20
E2T25	0.25	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1	0.25	60	0.25	20
E2T26	0.26	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1	0.26	60	0.26	20
E2T27	0.27	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1	0.27	60	0.27	20
E2T28	0.28	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1	0.28	60	0.28	20
E2T29	0.29	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1	0.29	60	0.29	20
E2T30	0.3	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1	0.3	60	0.3	20
E2T31	0.31	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1	0.31	60	0.31	20
E2T32	0.32	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1	0.32	60	0.32	20
E2T33	0.33	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1	0.33	60	0.33	20
E2T34	0.34	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1	0.34	60	0.34	20
E2T35	0.35	84.4789	1	2672.0893	1	3200.5262	1	36817.5165	1	0.35	60	0.35	20
E2T36	0.36	84.4789	1	2672.0893	1	3200.5262	1	36817.5165	1	0.36	60	0.36	20
E2T37	0.37	84.4789	1	2672.0893	1	3200.5262	1	36817.5165	1	0.37	60	0.37	20
E2T38	0.38	84.4789	1	2672.0893	1	3200.5262	1	36817.5165	1	0.38	60	0.38	20
E2T39	0.39	84.4789	1	2672.0893	1	3200.5262	1	36817.5165	1	0.39	60	0.39	20
E2T40	0.4	84.4789	1	2672.0893	1	3200.5262	1	36817.5165	1	0.4	60	0.4	20
E2T41	0.41	84.4789	1	2672.0893	1	3200.5262	1	36817.5165	1	0.41	60	0.41	20
E2T42	0.42	84.4789	1	2672.0893	1	3200.5262	1	36817.5165	1	0.42	60	0.42	20
E2T43	0.43	84.4789	1	2672.0893	1	3200.5262	1	36817.5165	1	0.43	60	0.43	20
E2T44	0.44	84.4789	1	2672.0893	1	3200.5262	1	36817.5165	1	0.44	60	0.44	20
E2T45	0.45	84.4789	1	2672.0893	1	3200.5262	1	36817.5165	1	0.45	60	0.45	20
E2T46	0.46	84.4789	1	2672.0893	1	3200.5262	1	36817.5165	1	0.46	60	0.46	20
E2T47	0.47	84.4789	1	2672.0893	1	3200.5262	1	36817.5165	1	0.47	60	0.47	20
E2T48	0.48	84.4789	1	2672.0893	1	3200.5262	1	36817.5165	1	0.48	60	0.48	20
E2T49	0.49	84.4789	1	2672.0893	1	3200.5262	1	36817.5165	1	0.49	60	0.49	20
E2T50	0.5	84.4789	1	2672.0893	1	3200.5262	1	36817.5165	1	0.5	60	0.5	20
E2T51	0.51	84.4789	1	2672.0893	1	3200.5262	1	36817.5165	1	0.51	60	0.51	20
E2T52	0.52	84.4789	1	2672.0893	1	3200.5262	1	36817.5165	1	0.52	60	0.52	20
E2T53	0.53	84.4789	1	2672.0893	1	3200.5262	1	36817.5165	1	0.53	60	0.53	20
E2T54	0.54	84.4789	1	2672.0894	1	3200.5262	1	36817.5165	1	0.54	60	0.54	20
E2T55	0.55	84.4789	1	2672.0894	1	3200.5262	1	36817.5165	1	0.55	60	0.55	20
E2T56	0.56	84.4789	1	2672.0894	1	3200.5262	1	36817.5165	1	0.56	60	0.56	20
E2T57	0.57	84.4789	1	2672.0894	1	3200.5262	1	36817.5165	1	0.57	60	0.57	20
E2T58	0.58	84.4789	1	2672.0894	1	3200.5262	1	36817.5165	1	0.58	60	0.58	20
E2T59	0.59	84.4789	1	2672.0894	1	3200.5262	1	36817.5165	1	0.59	60	0.59	20
E2T60	0.6	84.4789	1	2672.0894	1	3200.5262	1	36817.5165	1	0.6	60	0.6	20
E2T61	0.61	84.4789	1	2672.0894	1	3200.5262	1	36817.5165	1	0.61	60	0.61	20
E2T62	0.62	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1	0.62	60	0.62	20
E2T63	0.63	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1	0.63	60	0.63	20
E2T64	0.64	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1	0.64	60	0.64	20
E2T65	0.65	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1	0.65	60	0.65	20
E2T66	0.66	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1	0.66	60	0.66	20
E2T67	0.67	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1	0.67	60	0.67	20
E2T68	0.68	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1	0.68	60	0.68	20
E2T69	0.69	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1	0.69	60	0.69	20
E2T70	0.7	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1	0.7	60	0.7	20
E2T71	0.71	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1	0.71	60	0.71	20
E2T72	0.72	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1	0.72	60	0.72	20
E2T73	0.73	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1	0.73	60	0.73	20
E2T74	0.74	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1	0.74	60	0.74	20
E2T75	0.75	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1	0.75	60	0.75	20
E2T76	0.76	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1	0.76	60	0.76	20
E2T77	0.77	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1	0.77	60	0.77	20
E2T78	0.78	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1	0.78	60	0.78	20
E2T79	0.79	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1	0.79	60	0.79	20
E2T80	0.8	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1	0.8	60	0.8	20
E2T81	0.81	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1	0.81	60	0.81	20
E2T82	0.82	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1	0.82	60	0.82	20
E2T83	0.83	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1	0.83	60	0.83	20
E2T84	0.84	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1	0.84	60	0.84	20
E2T85	0.85	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1	0.85	60	0.85	20
E2T86	0.86	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1	0.86	60	0.86	20
E2T87	0.87	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1	0.87	60	0.87	20
E2T88	0.88	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1	0.88	60	0.88	20
E2T89	0.89	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1	0.89	60	0.89	20
E2T90	0.9	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1	0.9	60	0.9	20
E2T91	0.91	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1	0.91	60	0.91	20
E2T92	0.92	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1	0.92	60	0.92	20
E2T93	0.93	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1	0.93	60	0.93	20
E2T94	0.94	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1	0.94	60	0.94	20
E2T95	0.95	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1	0.95	60	0.95	20
E2T96	0.96	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1	0.96	60	0.96	20
E2T97	0.97	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1	0.97	60	0.97	20
E2T98	0.98	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1	0.98	60	0.98	20
E2T99	0.99	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1	0.99	60	0.99	20
E2T100	1	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1	1	60	1	20
E2T101	1.01	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1	1.01	60	1.01	20
E2T102	1.02	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1	1.02	60	1.02	20
E2T103	1.03	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1	1.03	60	1.03	20
E2T104	1.04	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1	1.04	60	1.04	20
E2T105	1.05	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1	1.05	60	1.05	20
E2T106	1.06	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1	1.06	60	1.06	20
E2T107	1.07	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1	1.07	60	1.07	20
E2T108	1.08	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1	1.08	60	1.08	20
E2T109	1.09	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1	1.09	60	1.09	20
E2T110	1.1	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1	1.1	60	1.1	20
E2T111	1.11	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1	1.11	60	1.11	20
E2T112	1.12	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1	1.12	60	1.12	20
E2T113	1.13	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1	1.13	60	1.13	20
E2T114	1.14	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1	1.14	60	1.14	20
E2T115	1.15	84.4788	1	2672.0894	1	3200.5264	1	36817.5165	1	1.15	60	1.15	20
E2T116	1.16	84.4788	1	2672.0894	1	3200.5264	1	36817.5165	1	1.16	60	1.16	20
E2T117	1.17	84.4788	1	2672.0894	1	3200.5264	1	36817.5165	1	1.17	60	1.17	20
E2T118	1.18	84.4788	1	2672.0894	1	3200.5264	1	36817.5165	1	1.18	60	1.18	20
E2T119	1.19	84.4788	1	2672.0894	1	3200.5264	1	36817.5165	1	1.19	60	1.19	20
E2T120	1.2	84.4788	1	2672.0894	1	3200.5264	1	36817.5165	1	1.2	60	1.2	20
E2T121	1.21	84.4788	1	2672.0894	1	3200.5264	1	36817.5165	1	1.21	60	1.21	20
E2T122	1.22	84.4788	1	2672.0894	1	3200.5264	1	36817.5165	1	1.22	60	1.22	20
E2T123	1.23	84.4788	1	2672.0894	1	3200.5264	1	36817.5165	1	1.23	60	1.23	20
E2T124	1.24	84.4788	1	2672.0894	1	3200.5264	1	36817.5165	1	1.24	60	1.24	20
E2T125	1.25	84.4788	1	2672.0894	1	3200.5264	1	36817.5165	1	1.25	60	1.25	20
E2T126	1.26	84.4788	1	2672.0894	1	3200.5265	1	36817.5165	1	1.26	60	1.26	20
E2T127	1.27	84.4788	1	2672.0894	1	3200.5265	1	36817.5165	1	1.27	60	1.27	20
E2T128	1.28	84.4788	1	2672.0894	1	3200.5265	1	36817.5165	1	1.28	60	1.28	20
E2T129	1.29	84.4788	1	2672.0894	1	3200.5265	1	36817.5165	1	1.29	60	1.29	20
E2T130	1.3	84.4788	1	2672.0894	1	3200.5265	1	36817.5165	1	1.3	60	1.3	20
