!!SBtab	Document='D1 LTP time window' TableName='Compound' TableType='Compound' TableTitle='D1 LTP time window Compounds'						
!ID	!Name	!Unit	!InitialValue	!SteadyState	!IsConstant	!Type	!Location
S0	AC5	nanomole	700	TRUE	FALSE	kinetic	Spine
S1	AC5_ATP	nanomole	0	FALSE	FALSE	kinetic	Spine
S2	AC5_Ca	nanomole	0	FALSE	FALSE	kinetic	Spine
S3	AC5_Ca_ATP	nanomole	0	FALSE	FALSE	kinetic	Spine
S4	AC5_Ca_GaolfGTP	nanomole	0	FALSE	FALSE	kinetic	Spine
S5	AC5_Ca_GaolfGTP_ATP	nanomole	0	FALSE	FALSE	kinetic	Spine
S6	AC5_GaolfGTP	nanomole	0	FALSE	FALSE	kinetic	Spine
S7	AC5_GaolfGTP_ATP	nanomole	0	FALSE	FALSE	kinetic	Spine
S8	AMP	nanomole	0	FALSE	FALSE	kinetic	Spine
S9	ATP	nanomole	5000000	TRUE	TRUE	kinetic	Spine
S10	B56PP2A	nanomole	2000	TRUE	FALSE	kinetic	Spine
S11	B56PP2A_D32p75	nanomole	0	FALSE	FALSE	kinetic	Spine
S12	B56PP2A_pARPP21	nanomole	0	FALSE	FALSE	kinetic	Spine
S13	B56PP2Ap	nanomole	0	FALSE	FALSE	kinetic	Spine
S14	B56PP2Ap_D32p75	nanomole	0	FALSE	FALSE	kinetic	Spine
S15	B56PP2Ap_pARPP21	nanomole	0	FALSE	FALSE	kinetic	Spine
S16	B72PP2A	nanomole	2000	TRUE	FALSE	kinetic	Spine
S17	B72PP2A_D32p34	nanomole	0	FALSE	FALSE	kinetic	Spine
S18	B72PP2A_D32p75	nanomole	0	FALSE	FALSE	kinetic	Spine
S19	B72PP2A_pARPP21	nanomole	0	FALSE	FALSE	kinetic	Spine
S20	B72PP2A_Ca_D32p34	nanomole	0	FALSE	FALSE	kinetic	Spine
S21	B72PP2A_Ca_D32p75	nanomole	0	FALSE	FALSE	kinetic	Spine
S22	B72PP2A_Ca	nanomole	0	FALSE	FALSE	kinetic	Spine
S23	B72PP2A_Ca_pARPP21	nanomole	0	FALSE	FALSE	kinetic	Spine
S24	Ca	nanomole	60	TRUE	TRUE	kinetic	Spine
