!!SBtab	Document='D1 LTP time window' SBtabVersion='1.0' TableName='Input' TableTitle='Input Parameter List, dynamics are hardcoded into model' TableType='Quantity'				
!ID	!Name	!DefaultValue	!Unit	!ConservationLaw	!Comment
CLU1	PP2B_ConservedConst	4000	nM	TRUE	PP2B_ConservedConst = PP2B+1*PP2Bc+1*PP2Bc_D32p34+1*PP2B_CaM+1*PP2B_CaM_Ca2
CLU2	PP1_ConservedConst	3000	nM	TRUE	PP1_ConservedConst = PP1+1*PP1_pCaMKII_psd+1*PP1_pSubstrate+1*PP1_D32p34
CLU3	PKAc_ConservedConst	0	nM	TRUE	PKAc_ConservedConst = PKAc+1*PKAc_B56PP2A+1*PKAc_D32+1*PKAc_ARPP21+1*PKAc_D32p75-1*PKAreg
CLU4	PKA_ConservedConst	1200	nM	TRUE	PKA_ConservedConst = PKA+1*PKA_Ca2MP+1*PKA_Ca4MP+1*PKAreg
CLU5	PDE10r_ConservedConst	700	nM	TRUE	PDE10r_ConservedConst = PDE10r+1*PDE10r_cAMP+1*PDE10c+1*PDE10c_cAMP
CLU6	PDE4_ConservedConst	2000	nM	TRUE	PDE4_ConservedConst = PDE4+1*PDE4_cAMP
CLU7	Golf_ConservedConst	2000	nM	TRUE	Golf_ConservedConst = D1R_Golf_DA+1*D1R_Golf+1*Gbgolf+1*Golf
CLU8	DA_ConservedConst	-1980	nM	TRUE	DA_ConservedConst = D1R_DA+1*DA-1*D1R_Golf-1*Gbgolf-1*Golf
CLU9	D1R_ConservedConst	1980	nM	TRUE	D1R_ConservedConst = D1R+1*D1R_Golf-1*DA
CLU10	CDK5_ConservedConst	1800	nM	TRUE	CDK5_ConservedConst = CDK5+1*CDK5_D32
CLU11	Substrate_ConservedConst	3000	nM	TRUE	Substrate_ConservedConst = Substrate+1*pSubstrate+1*PP1_pSubstrate+1*pCaMKII_psd_Substrate+1*pCaMKII_CaM_psd_Substrate+1*pCaMKII_CaM_Ca2_psd_Substrate+1*pCaMKII_CaM_Ca4_psd_Substrate+1*CaMKII_CaM_psd_Substrate+1*CaMKII_CaM_Ca2_psd_Substrate+1*CaMKII_CaM_Ca4_psd_Substrate
